id	presence.summary	confidence	subs_clone	event_type	event_id	csv_locus	color	ClusterSV_event_type	ClusterSV_cluster_id	ClusterSV_num_SV_in_cluster	ClusterSV_footprint_id_low_end	ClusterSV_footprint_id_high_end	ClusterSV_start_end_low_end_footprint	ClusterSV_start_end_high_end_footprint	ClusterSV_p_value	chr1	start1	end1	chr2	start2	end2	strand1	strand2	rearr_type	bkpt_distance	I.H.134819.T10.3.D1.1.count	I.H.134819.T11.3.D1.1.count	I.H.134819.T12.3.D1.1.count	I.H.134819.T14.3.D1.1.count	I.H.134819.T15.3.D1.1.count	I.H.134819.T16.3.D1.1.count	I.H.134819.T9.3.D1.1.count	gene1	gene1_id	gene1_transcript_id	gene1_strand	gene1_end_phase	gene1_region	gene1_region_number	gene1_total_region_count	gene1_first_last	gene2	gene2_id	gene2_transcript_id	gene2_strand	gene2_phase	gene2_region	gene2_region_number	gene2_total_region_count	gene2_first_last	fusion_flag
11	T11	high	R1 77%	tandem_duplication	97	none	#974706	tandem_duplication	2	1	2.chr1.1	2.chr1.2	174006731-174006731	174195491-174195491	NA	1	174006718	174006744	1	174195478	174195504	-	-	DUP	188760	0	32	0	0	0	0	0	_	_	_	_	_	_	_	_	_	RABGAP1L	RABGAP1L	ENST00000251507	1	1	intron	3	21	_	0
12	T10/T9	high	D1,D2 100%	simple_deletion	75	none	#7800F8	simple_deletion	1	1	1.chr1.1	1.chr1.2	224637490.5-224637490.5	224639543.5-224639543.5	NA	1	224637490	224637491	1	224639543	224639544	+	+	DEL	2053	28	0	0	0	0	0	19	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0
13	T12	high	R2 52%	complex_unclassified	12	none	#0057FF	complex	1	2	1.chr1.1	1.chr1.2	225678769-225678769	225944078.5-225955004.5	0.001500388	1	225678768	225678770	1	225947002	225947004	-	-	DUP	268234	0	0	27	0	0	0	0	ENAH	ENAH	ENST00000366844	-1	_	3UTRexon	15	15	_	_	_	_	_	_	_	_	_	_	0
14	T12	high	R2 52%	complex_unclassified	12	none	#0057FF	complex	1	2	1.chr1.2	1.chr1.2	225944078.5-225955004.5	225944078.5-225955004.5	0.001500388	1	225944078	225944079	1	225955004	225955005	-	-	DUP	10926	0	0	27	0	0	0	0	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0
381	T11	high	R1 77%	complex_unclassified	98	none	#974706	unbalanced_translocation	3_4	1	3.chr2.1	3.chr3.4	9455910.5-12113590	78397428.5-cen_start	0.03889472	2	9455909	9455912	3	78397427	78397430	-	+	TRA	-1	0	19	0	0	0	0	0	ASAP2	ASAP2	ENST00000281419	1	0	intron	3	28	_	_	_	_	_	_	_	_	_	_	0
392	T11	high	R1 77%	complex_unclassified	98	none	#974706	complex	3_1	4	3.chr2.1	3.chr2.1	9455910.5-12113590	9455910.5-12113590	0.03889472	2	10812313	10812315	2	11912599	11912601	+	+	DEL	1100286	0	6	0	0	0	0	0	NOL10	NOL10	ENST00000345985	-1	0	intron	5	20	_	LPIN1	LPIN1	ENST00000256720	1	2	intron	4	20	_	540
15	T11	high	R1 77%	complex_unclassified	98	none	#974706	complex	3_1	4	3.chr2.1	3.chr21.3	9455910.5-12113590	15545893.5-15547970	0.03889472	2	11660178	11660181	21	15545892	15545895	+	+	TRA	-1	0	12	0	0	0	0	0	_	_	_	_	_	_	_	_	_	LIPI	LIPI	ENST00000344577	-1	1	intron	4	10	_	0
16	T11	high	R1 77%	complex_unclassified	98	none	#974706	complex	3_1	4	3.chr2.1	3.chr21.3	9455910.5-12113590	15545893.5-15547970	0.03889472	2	12079391	12079393	21	15547969	15547971	+	+	TRA	-1	0	7	0	0	0	0	0	AC096559.1	AC096559.1	ENST00000438292	1	_	UTRintron	1	5	_	LIPI	LIPI	ENST00000344577	-1	1	intron	4	10	_	180
384	T11	high	R1 77%	complex_unclassified	98	none	#974706	complex	3_1	4	3.chr2.1	3.chr3.4	9455910.5-12113590	78397428.5-cen_start	0.03889472	2	12113589	12113591	3	83485124	83485126	-	+	TRA	-1	0	9	0	0	0	0	0	AC096559.1	AC096559.1	ENST00000438292	1	_	UTRintron	1	5	_	_	_	_	_	_	_	_	_	_	0
393	T14	high	R3 100%	complex_unclassified	37	none	#FF0080	inversion	36	1	NA	NA	NA	NA	NA	2	31055600	31055605	2	31059010	31059015	-	+	T2T_INV	3410	0	0	0	40	0	0	0	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0
456	T14	high	R3 100%	complex_unclassified	37	2p_gain	#FF0080	unbalanced_translocation	58	1	NA	NA	NA	NA	NA	2	31146664	31146666	20	41842496	41842498	+	+	TRA	-1	0	0	0	68	0	0	0	GALNT14	GALNT14	ENST00000349752	-1	0	intron	13	15	_	_	_	_	_	_	_	_	_	_	0
395	T12	high	R2 52%	tandem_duplication	13	none	#0057FF	tandem_duplication	2	1	2.chr2.1	2.chr2.2	63208477.5-63208477.5	63332334.5-63332334.5	NA	2	63208475	63208480	2	63332332	63332337	-	-	DUP	123857	0	0	17	0	0	0	0	EHBP1	EHBP1	ENST00000263991	1	1	intron	16	25	_	_	_	_	_	_	_	_	_	_	0
396	T14	high	R3 100%	inversion	38	none	#FF0080	inversion	37	1	NA	NA	NA	NA	NA	2	96503526	96503526	2	96506993	96506995	+	-	H2H_INV	3467	0	0	0	56	0	0	0	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0
397	T11	high	R1 77%	simple_deletion	99	none	#974706	simple_deletion	4	1	4.chr2.1	4.chr2.2	105858829.5-105858829.5	105887712.5-105887712.5	NA	2	105858828	105858831	2	105887711	105887714	+	+	DEL	28883	0	4	0	0	0	0	0	GPR45	GPR45	ENST00000258456	1	_	exon	1	1	_	TGFBRAP1	TGFBRAP1	ENST00000393359	-1	1	intron	10	12	_	500
475	T15_35__T16_39	high	R4 35% / R5 39%	complex_unclassified	66	none	#FF9D00	complex	30	2	NA	NA	NA	NA	NA	2	110888742	110888742	13	58546608	58546608	+	+	TRA	-1	0	0	0	0	28	23	0	NPHP1	NPHP1	ENST00000316534	-1	1	intron	17	20	_	_	_	_	_	_	_	_	_	_	0
474	T15_35__T16_39	high	R4 35% / R5 39%	complex_unclassified	66	none	#FF9D00	complex	30	2	NA	NA	NA	NA	NA	2	110888744	110888746	13	58546599	58546601	-	-	TRA	-1	0	0	0	0	15	24	0	NPHP1	NPHP1	ENST00000316534	-1	1	intron	17	20	_	_	_	_	_	_	_	_	_	_	0
399	T14	high	R3 100%	complex_unclassified	39	none	#FF0080	complex	6	3	6.chr2.1	6.chr2.1	171495631-181893445	171495631-181893445	0.025560164	2	171495630	171495632	2	179159682	179159684	-	-	DUP	7664052	0	0	0	591	0	0	0	MYO3B	MYO3B	ENST00000334231	1	1	intron	32	35	_	OSBPL6	OSBPL6	ENST00000190611	1	_	5UTRintron	2	25	_	200
400	T14	high	R3 100%	complex_unclassified	39	none	#FF0080	complex	6	3	6.chr2.1	6.chr2.1	171495631-181893445	171495631-181893445	0.025560164	2	171549690	171549690	2	181613091	181613091	+	+	DEL	10063401	0	0	0	245	0	0	0	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0
398	T15_35__T16_39	high	R4 35% / R5 39%	simple_deletion	67	none	#FF9D00	simple_deletion	3	1	3.chr2.1	3.chr2.2	174338213.5-174338213.5	174342956.5-174342956.5	NA	2	174338213	174338214	2	174342956	174342957	+	+	DEL	4743	0	0	0	0	15	19	0	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0
405	T14	high	R3 100%	complex_unclassified	39	none	#FF0080	complex	6	3	6.chr2.1	6.chr2.2	171495631-181893445	242893475-242893475	0.025560164	2	181893445	181893445	2	242893475	242893475	+	+	DEL	61000030	0	0	0	733	0	0	0	UBE2E3	UBE2E3	ENST00000410062	1	2	intron	3	6	_	_	_	_	_	_	_	_	_	_	0
389	T11	high	R1 77%	complex_unclassified	98	none	#974706	reciprocal_translocation	3_2	2	3.chr2.2	3.chr3.4	193486261.5-193822842	78397428.5-cen_start	0.03889472	2	193486260	193486263	3	89149750	89149753	-	+	TRA	-1	0	11	0	0	0	0	0	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0
390	T11	high	R1 77%	complex_unclassified	98	none	#974706	reciprocal_translocation	3_2	2	3.chr2.2	3.chr3.4	193486261.5-193822842	78397428.5-cen_start	0.03889472	2	193822840	193822844	3	89149868	89149872	+	-	TRA	-1	0	16	0	0	0	0	0	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0
401	T11_T12_T14_T15_T16_100	high	R1,R2,R3,R4,R5 100%	tandem_duplication	2	none	#005800	tandem_duplication	1	1	1.chr2.1	1.chr2.2	208063955-208063955	208074216-208074216	NA	2	208063952	208063958	2	208074213	208074219	-	-	DUP	10261	0	21	25	38	40	41	0	AC007879.1	AC007879.1	ENST00000435643	1	_	UTRintron	2	5	_	AC007879.2	AC007879.2	ENST00000417096	-1	_	UTRintron	2	3	_	100
402	T10/T9	high	D1,D2 100%	tandem_duplication	76	none	#7800F8	tandem_duplication	2	1	2.chr2.1	2.chr2.2	209774490.5-209774490.5	209785276.5-209785276.5	NA	2	209774489	209774492	2	209785275	209785278	-	-	DUP	10786	28	0	0	0	0	0	3	_	_	_	_	_	_	_	_	_	RNA5SP117	RNA5SP117	ENST00000365294	-1	_	UTRexon	1	1	_	0
498	T14	high	R3 100%	unbalanced_translocation	40	none	#FF0080	unbalanced_translocation	59	1	NA	NA	NA	NA	NA	3	26820206	26820208	19	43139066	43139068	+	-	TRA	-1	0	0	0	40	0	0	0	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0
382	T9	high	D1 6% / D2 58%	simple_deletion	89	3p_loss	#CA9EF8	simple_deletion	86	1	NA	NA	NA	NA	NA	3	30063988	30063989	3	79251054	79251055	+	+	DEL	49187066	1	0	0	0	0	0	11	_	_	_	_	_	_	_	_	_	ROBO1	ROBO1	ENST00000464233	-1	1	intron	2	31	_	0
379	T12	high	R2 52%	tandem_duplication	128	none	#0057FF	tandem_duplication	3	1	3.chr3.1	3.chr3.2	55362188-55362188	55364088-55364088	NA	3	55362186	55362190	3	55364086	55364090	-	-	DUP	1900	0	0	15	0	0	0	0	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0
380	T12	high	R2 52%	simple_deletion	14	none	#0057FF	simple_deletion	4	1	4.chr3.1	4.chr3.2	58977692-58977692	67173974-67173974	NA	3	58977688	58977696	3	67173970	67173978	+	+	DEL	8196282	0	0	24	0	0	0	0	C3orf67	C3orf67	ENST00000295966	-1	_	5UTRintron	4	16	_	_	_	_	_	_	_	_	_	_	0
383	T11	high	R1 77%	simple_deletion	100	none	#974706	simple_deletion	3_3	1	3.chr3.4	3.chr3.4	78397428.5-cen_start	78397428.5-cen_start	0.03889472	3	82765505	82765510	3	82939640	82939645	+	+	DEL	174135	0	8	0	0	0	0	0	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0
385	T12	high	R2 52%	tandem_duplication	15	none	#0057FF	tandem_duplication	5	1	5.chr3.1	5.chr3.2	84352269.5-84352269.5	84676767.5-84676767.5	NA	3	84352269	84352270	3	84676767	84676768	-	-	DUP	324498	0	0	14	0	0	0	0	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0
388	T14	high	R3 100%	complex_unclassified	41	none	#FF0080	simple_deletion	60	1	NA	NA	NA	NA	NA	3	85323247	85323251	3	86026286	86026290	+	+	DEL	703039	0	0	0	43	0	0	0	CADM2	CADM2	ENST00000383699	1	1	intron	1	10	_	CADM2	CADM2	ENST00000383699	1	1	intron	8	10	_	880
387	T14	high	R3 100%	complex_unclassified	41	none	#FF0080	tandem_duplication	34	1	NA	NA	NA	NA	NA	3	85522807	85522814	3	85532005	85532012	-	-	DUP	9198	0	0	0	30	0	0	0	CADM2	CADM2	ENST00000383699	1	1	intron	1	10	_	CADM2	CADM2	ENST00000383699	1	1	intron	1	10	_	460
75	T10/T9	high	D1,D2 100%	chromothripsis	77	MDM2|CDK4	#7800F8	complex	3_1	191	3.chr3.18	3.chr12.1	174619766-174619824.5	552660.5-1849464.5	0.049987048	3	174619766	174619766	12	1040214	1040216	+	-	TRA	-1	22	0	0	0	0	0	7	NAALADL2	NAALADL2	ENST00000454872	1	1	intron	1	14	_	RAD52	RAD52	ENST00000358495	-1	0	intron	3	12	_	700
269	T10/T9	high	D1,D2 100%	chromothripsis	77	MDM2|CDK4	#7800F8	complex	3_1	191	3.chr3.18	3.chr12.9	174619766-174619824.5	77615907-77617111	0.049987048	3	174619824	174619825	12	77616136	77616137	-	-	TRA	-1	23	0	0	0	0	0	10	NAALADL2	NAALADL2	ENST00000454872	1	1	intron	1	14	_	RP1-81P11.1	RP1-81P11.1	ENST00000552060	-1	_	UTRintron	1	2	_	200
518	T12	high	R2 52%	simple_deletion	16	none	#0057FF	complex	6	2	6.chr4.2	6.chr16.1	68591305-68591310	50030509-50030512	7.29E-09	4	68591305	68591305	16	50030509	50030509	+	+	TRA	-1	0	0	7	0	0	0	0	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0
519	T12	high	R2 52%	tandem_duplication	17	none	#0057FF	complex	6	2	6.chr4.2	6.chr16.1	68591305-68591310	50030509-50030512	7.29E-09	4	68591309	68591311	16	50030511	50030513	-	-	TRA	-1	0	0	8	0	0	0	0	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0
623	T11	high	R1 77%	complex_unclassified	101	none	#974706	complex	5	2	5.chr4.2	5.chr22.1	98861111.5-98861223	cen_end-17142135.5	8.09E-09	4	98861109	98861114	22	17142133	17142138	-	-	TRA	-1	0	15	0	0	0	0	0	STPG2	STPG2	ENST00000295268	-1	0	intron	8	11	_	TPTEP1	TPTEP1	ENST00000558085	1	_	UTRintron	2	3	_	200
622	T11	high	R1 77%	complex_unclassified	101	none	#974706	complex	5	2	5.chr4.2	5.chr22.1	98861111.5-98861223	cen_end-17142135.5	8.09E-09	4	98861219	98861227	22	17012326	17012334	+	+	TRA	-1	0	5	0	0	0	0	0	STPG2	STPG2	ENST00000295268	-1	0	intron	8	11	_	_	_	_	_	_	_	_	_	_	0
482	T10/T9	high	D1,D2 100%	tandem_duplication	78	none	#7800F8	tandem_duplication	4	1	4.chr4.1	4.chr4.2	152563324-152563324	152748036-152748036	NA	4	152563322	152563326	4	152748034	152748038	-	-	DUP	184712	3	0	0	0	0	0	14	FAM160A1	FAM160A1	ENST00000435205	1	2	intron	9	14	_	_	_	_	_	_	_	_	_	_	0
407	T10/T9	high	D1,D2 100%	tandem_duplication	79	none	#7800F8	tandem_duplication	5	1	5.chr5.1	5.chr5.2	13087640-13087640	13125361-13125361	NA	5	13087638	13087642	5	13125359	13125363	-	-	DUP	37721	4	0	0	0	0	0	6	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0
410	T12	high	R2 52%	tandem_duplication	18	none	#0057FF	tandem_duplication	7	1	7.chr5.1	7.chr5.2	67980251.5-67980251.5	68518167.5-68518167.5	NA	5	67980250	67980253	5	68518166	68518169	-	-	DUP	537916	0	0	12	0	0	0	0	_	_	_	_	_	_	_	_	_	MRPS36	MRPS36	ENST00000256441	1	0	intron	1	4	_	0
413	T11	high	R1 77%	tandem_duplication	102	none	#974706	tandem_duplication	6	1	6.chr5.1	6.chr5.2	71912905.5-71912905.5	90168881.5-90168881.5	NA	5	71912905	71912906	5	90168881	90168882	-	-	DUP	18255976	0	16	0	0	0	0	0	CTC-347C20.2	CTC-347C20.2	ENST00000512573	-1	_	UTRintron	1	3	_	GPR98	GPR98	ENST00000405460	1	0	intron	83	90	_	180
411	T12	high	R2 52%	simple_deletion	19	none	#0057FF	simple_deletion	8	1	8.chr5.1	8.chr5.2	76941004.5-76941004.5	76942752.5-76942752.5	NA	5	76941004	76941005	5	76942752	76942753	+	+	DEL	1748	0	0	6	0	0	0	0	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0
509	T11	high	R1 77%	reciprocal_translocation	103	none	#974706	complex	7	3	7.chr5.1	7.chr6.2	80666909-80667192.5	148204885-148659249.5	0.004973505	5	80666907	80666911	6	148204883	148204887	-	+	TRA	-1	0	12	0	0	0	0	0	ACOT12	ACOT12	ENST00000307624	-1	0	intron	3	15	_	RP11-307P5.1	RP11-307P5.1	ENST00000427015	1	_	UTRintron	1	3	_	200
511	T11	high	R1 77%	reciprocal_translocation	103	none	#974706	complex	7	3	7.chr5.1	7.chr6.3	80666909-80667192.5	163158593.5-163158593.5	0.004973505	5	80667192	80667193	6	163158593	163158594	+	-	TRA	-1	0	12	0	0	0	0	0	ACOT12	ACOT12	ENST00000307624	-1	0	intron	3	15	_	PACRG	PACRG	ENST00000337019	1	0	intron	2	7	_	900
414	T10/T9	high	D1,D2 100%	tandem_duplication	80	none	#7800F8	tandem_duplication	6	1	6.chr5.1	6.chr5.2	123004532-123004532	124025854-124025854	NA	5	123004531	123004533	5	124025853	124025855	-	-	DUP	1021322	2	0	0	0	0	0	11	_	_	_	_	_	_	_	_	_	ZNF608	ZNF608	ENST00000306315	-1	1	intron	2	9	_	0
416	T11_11__T12_29__T15_T16_100	high	R1 11% / R2 29% / R4,R5 100%	chromothripsis	7	none	#7FAB7F	complex	28	38	NA	NA	NA	NA	NA	5	159892153	159892153	20	361615	361617	+	-	TRA	-1	0	3	7	0	32	37	0	_	_	_	_	_	_	_	_	_	TRIB3	TRIB3	ENST00000217233	1	_	5UTRexon	1	4	_	0
450	T11_11__T12_29__T15_T16_100	high	R1 11% / R2 29% / R4,R5 100%	chromothripsis	7	none	#7FAB7F	complex	28	38	NA	NA	NA	NA	NA	5	159895568	159895570	20	17770608	17770610	-	-	TRA	-1	0	6	9	0	50	36	0	MIR146A	MIR146A	ENST00000517927	1	_	UTRintron	1	2	_	_	_	_	_	_	_	_	_	_	0
426	T12_T15_T16	high	R2 26% / R4,R5 100%	unbalanced_translocation	9	none	#BFD5BF	unbalanced_translocation	91	1	NA	NA	NA	NA	NA	5	159900781	159900782	20	16304159	16304160	+	-	TRA	-1	0	0	3	0	57	41	0	MIR146A	MIR146A	ENST00000517927	1	_	UTRintron	1	2	_	KIF16B	KIF16B	ENST00000354981	-1	0	intron	24	26	_	180
492	T11_11__T12_29__T15_T16_100	high	R1 11% / R2 29% / R4,R5 100%	chromothripsis	7	none	#7FAB7F	complex	28	38	NA	NA	NA	NA	NA	5	161301242	161301245	19	30234652	30234655	-	+	TRA	-1	0	3	8	0	48	37	0	GABRA1	GABRA1	ENST00000428797	1	2	intron	6	11	_	_	_	_	_	_	_	_	_	_	0
425	T11_11__T12_29__T15_T16_100	high	R1 11% / R2 29% / R4,R5 100%	chromothripsis	7	none	#7FAB7F	complex	28	38	NA	NA	NA	NA	NA	5	174353752	174353753	20	16282518	16282519	+	+	TRA	-1	0	2	3	0	53	50	0	CTC-281M20.1	CTC-281M20.1	ENST00000377300	-1	_	UTRintron	2	3	_	KIF16B	KIF16B	ENST00000354981	-1	0	intron	25	26	_	180
424	T11_11__T12_29__T15_T16_100	high	R1 11% / R2 29% / R4,R5 100%	chromothripsis	7	none	#7FAB7F	complex	28	38	NA	NA	NA	NA	NA	5	175967684	175967688	20	16275515	16275519	-	+	TRA	-1	0	2	8	0	45	53	0	_	_	_	_	_	_	_	_	_	KIF16B	KIF16B	ENST00000354981	-1	0	intron	25	26	_	0
442	T11_11__T12_29__T15_T16_100	high	R1 11% / R2 29% / R4,R5 100%	chromothripsis	7	none	#7FAB7F	complex	28	38	NA	NA	NA	NA	NA	5	175968690	175968692	20	17715773	17715775	+	+	TRA	-1	0	3	9	0	50	48	0	_	_	_	_	_	_	_	_	_	BANF2	BANF2	ENST00000545418	1	0	intron	2	3	_	0
420	T11_11__T12_29__T15_T16_100	high	R1 11% / R2 29% / R4,R5 100%	chromothripsis	7	none	#7FAB7F	complex	28	38	NA	NA	NA	NA	NA	5	175972614	175972617	20	4791380	4791383	-	+	TRA	-1	0	5	13	0	48	35	0	CDHR2	CDHR2	ENST00000510636	1	_	5UTRintron	1	32	_	RASSF2	RASSF2	ENST00000379400	-1	_	5UTRintron	2	12	_	860
500	T9	high	D1 6% / D2 58%	unbalanced_translocation	90	none	#CA9EF8	unbalanced_translocation	87	1	NA	NA	NA	NA	NA	5	176042667	176042671	19	59095981	59095985	-	-	TRA	-1	1	0	0	0	0	0	14	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0
488	T11_11__T12_29__T15_T16_100	high	R1 11% / R2 29% / R4,R5 100%	chromothripsis	7	none	#7FAB7F	complex	29	3	NA	NA	NA	NA	NA	5	176798434	176798434	19	21717631	21717633	+	-	TRA	-1	0	2	8	0	42	35	0	RGS14	RGS14	ENST00000408923	1	0	intron	13	15	_	_	_	_	_	_	_	_	_	_	0
487	T11_11__T12_29__T15_T16_100	high	R1 11% / R2 29% / R4,R5 100%	chromothripsis	7	none	#7FAB7F	complex	29	3	NA	NA	NA	NA	NA	5	176798447	176798447	19	21717132	21717134	+	-	TRA	-1	0	2	8	0	42	35	0	RGS14	RGS14	ENST00000408923	1	0	intron	13	15	_	_	_	_	_	_	_	_	_	_	0
501	T12	high	R2 52%	tandem_duplication	20	none	#0057FF	tandem_duplication	9	1	9.chr6.1	9.chr6.2	20933854-20933854	21127170-21127170	NA	6	20933852	20933856	6	21127168	21127172	-	-	DUP	193316	0	0	5	0	0	0	0	CDKAL1	CDKAL1	ENST00000274695	1	1	intron	9	16	_	CDKAL1	CDKAL1	ENST00000274695	1	0	intron	13	16	_	680
505	T14	high	R3 100%	complex_unclassified	42	none	#FF0080	tandem_duplication	61	1	NA	NA	NA	NA	NA	6	26851361	26851362	6	52975932	52975933	-	-	DUP	26124571	0	0	0	34	0	0	0	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0
503	T14	high	R3 100%	complex_unclassified	42	none	#FF0080	reciprocal_inversion	35	2	NA	NA	NA	NA	NA	6	27370629	27370633	6	52852906	52852910	+	-	H2H_INV	25482277	0	0	0	100	0	0	0	ZNF391	ZNF391	ENST00000244576	1	_	3UTRexon	3	3	_	GSTA4	GSTA4	ENST00000370963	-1	0	intron	2	7	_	620
