presence.summary	color	subs_clone	confidence	id	event_type	event_id	csv_locus	chr1	start1	end1	chr2	start2	end2	strand1	strand2	rearr_type	bkpt_distance	I-H-103207-T2-1-D1-1.count	I-H-103207-T3-1-D1-1.count	I-H-103207-T4-1-D1-1.count	I-H-103207-T5-1-D1-1.count	I-H-103207-T6-1-D1-1.count	I-H-103207-T7-1-D1-1.count	I-H-103207-T8-1-D1-1.count	I-H-103207-T9-1-D1-1.count	I-H-103207-T10-1-D1-1.count	I-H-103207-T11-1-D1-1.count	T1.count	N2.count	gene1	gene1_id	gene1_transcript_id	gene1_strand	gene1_end_phase	gene1_region	gene1_region_number	gene1_total_region_count	gene1_first_last	gene2	gene2_id	gene2_transcript_id	gene2_strand	gene2_phase	gene2_region	gene2_region_number	gene2_total_region_count	gene2_first_last	fusion_flag	chr1.mbrass	strand1.mbrass	start1.mbrass	end1.mbrass	chr2.mbrass	presence.I.H.103207.T2.1.D1.1	presence.I.H.103207.T3.1.D1.1	presence.I.H.103207.T4.1.D1.1	presence.I.H.103207.T5.1.D1.1	presence.I.H.103207.T6.1.D1.1	presence.I.H.103207.T7.1.D1.1	presence.I.H.103207.T8.1.D1.1	presence.I.H.103207.T9.1.D1.1	presence.I.H.103207.T10.1.D1.1	presence.I.H.103207.T11.1.D1.1	presence.I.H.103207.T1.1.D1.1	presence.I.H.103207.N2.1.D1.1	I.H.103207.N2.1.D1.1__numcallers	I.H.103207.N2.1.D1.1__callers	I.H.103207.N2.1.D1.1__numreads_brass	I.H.103207.N2.1.D1.1__numreads_svaba	I.H.103207.N2.1.D1.1__numreads_gridss	I.H.103207.T10.1.D1.1__numcallers	I.H.103207.T10.1.D1.1__callers	I.H.103207.T10.1.D1.1__numreads_brass	I.H.103207.T10.1.D1.1__numreads_svaba	I.H.103207.T10.1.D1.1__numreads_gridss	I.H.103207.T11.1.D1.1__numcallers	I.H.103207.T11.1.D1.1__callers	I.H.103207.T11.1.D1.1__numreads_brass	I.H.103207.T11.1.D1.1__numreads_svaba	I.H.103207.T11.1.D1.1__numreads_gridss	I.H.103207.T2.1.D1.1__numcallers	I.H.103207.T2.1.D1.1__callers	I.H.103207.T2.1.D1.1__numreads_brass	I.H.103207.T2.1.D1.1__numreads_svaba	I.H.103207.T2.1.D1.1__numreads_gridss	I.H.103207.T3.1.D1.1__numcallers	I.H.103207.T3.1.D1.1__callers	I.H.103207.T3.1.D1.1__numreads_brass	I.H.103207.T3.1.D1.1__numreads_svaba	I.H.103207.T3.1.D1.1__numreads_gridss	I.H.103207.T4.1.D1.1__numcallers	I.H.103207.T4.1.D1.1__callers	I.H.103207.T4.1.D1.1__numreads_brass	I.H.103207.T4.1.D1.1__numreads_svaba	I.H.103207.T4.1.D1.1__numreads_gridss	I.H.103207.T5.1.D1.1__numcallers	I.H.103207.T5.1.D1.1__callers	I.H.103207.T5.1.D1.1__numreads_brass	I.H.103207.T5.1.D1.1__numreads_svaba	I.H.103207.T5.1.D1.1__numreads_gridss	I.H.103207.T6.1.D1.1__numcallers	I.H.103207.T6.1.D1.1__callers	I.H.103207.T6.1.D1.1__numreads_brass	I.H.103207.T6.1.D1.1__numreads_svaba	I.H.103207.T6.1.D1.1__numreads_gridss	I.H.103207.T7.1.D1.1__numcallers	I.H.103207.T7.1.D1.1__callers	I.H.103207.T7.1.D1.1__numreads_brass	I.H.103207.T7.1.D1.1__numreads_svaba	I.H.103207.T7.1.D1.1__numreads_gridss	I.H.103207.T8.1.D1.1__numcallers	I.H.103207.T8.1.D1.1__callers	I.H.103207.T8.1.D1.1__numreads_brass	I.H.103207.T8.1.D1.1__numreads_svaba	I.H.103207.T8.1.D1.1__numreads_gridss	I.H.103207.T9.1.D1.1__numcallers	I.H.103207.T9.1.D1.1__callers	I.H.103207.T9.1.D1.1__numreads_brass	I.H.103207.T9.1.D1.1__numreads_svaba	I.H.103207.T9.1.D1.1__numreads_gridss	presence.summary
T2_T3_T4_T5_T6_T8_T9_T10_T11	#646464	trunk	high	311	chromothripsis	1	none	2	1095158	1095159	2	23790218	23790219	+	-	0	0	17	10	24	14	17	0	8	13	22	13	0	0	SNTG2	SNTG2	ENST00000308624	1	1	intron	4	17	_	KLHL29	KLHL29	ENST00000486442	1	0	intron	3	14	_	540	2	+	1095133	1095642	2	1	1	1	1	1	0	1	1	1	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	T2_T3_T4_T5_T6_T8_T9_T10_T11
T2_T3_T4_T5_T6_T8_T9_T10_T11	#646464	trunk	high	363	chromothripsis	1	none	2	1095218	1095219	2	46933182	46933183	+	-	0	0	11	7	19	18	10	0	6	14	22	24	0	0	SNTG2	SNTG2	ENST00000308624	1	1	intron	4	17	_	SOCS5	SOCS5	ENST00000306503	1	_	5UTRintron	1	2	_	200	2	+	1095188	1095700	2	1	1	1	1	1	0	1	1	1	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	svaba,gridss,brass	24	23	24	NA	NA	NA	NA	NA	2	gridss,brass	7	NA	7	3	brass,gridss,svaba	19	19	19	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	gridss,brass	6	NA	6	1	brass	14	NA	NA	T2_T3_T4_T5_T6_T8_T9_T10_T11
T2_T3_T4_T5_T6_T8_T9_T10_T11	#646464	trunk	high	2	chromothripsis	1	none	2	1095913	1095915	2	1373061	1373063	-	-	0	0	12	14	23	9	13	0	12	17	18	14	0	0	SNTG2	SNTG2	ENST00000308624	1	1	intron	4	17	_	_	_	_	_	_	_	_	_	_	0	2	-	1095859	1096063	2	1	1	1	1	1	0	1	1	1	1	0	0	NA	NA	NA	NA	NA	3	brass,gridss,svaba	18	19	17	3	svaba,gridss,brass	14	14	13	3	brass,gridss,svaba	12	13	12	3	svaba,gridss,brass	14	14	14	3	brass,gridss,svaba	23	22	23	3	svaba,gridss,brass	9	10	9	3	brass,gridss,svaba	13	14	13	NA	NA	NA	NA	NA	3	gridss,svaba,brass	12	12	12	3	gridss,brass,svaba	17	18	17	T2_T3_T4_T5_T6_T8_T9_T10_T11
T2_T3_T4_T5_T6_T8_T9_T10_T11	#646464	trunk	high	314	chromothripsis	1	none	2	1372750	1372750	2	23790849	23790851	+	-	0	0	9	7	15	9	14	0	3	7	19	14	0	0	_	_	_	_	_	_	_	_	_	KLHL29	KLHL29	ENST00000486442	1	0	intron	3	14	_	0	2	+	1372724	1372978	2	1	1	1	1	1	0	1	1	1	1	0	0	NA	NA	NA	NA	NA	3	brass,gridss,svaba	19	19	18	3	svaba,gridss,brass	14	13	14	NA	NA	NA	NA	NA	1	brass	7	NA	NA	3	brass,gridss,svaba	15	15	15	3	svaba,gridss,brass	9	9	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	gridss,brass	7	NA	7	T2_T3_T4_T5_T6_T8_T9_T10_T11
T2_T3_T4_T5_T6_T8_T9_T10_T11	#646464	trunk	high	4	chromothripsis	1	none	2	1372750	1372750	2	1563104	1563106	+	-	0	0	2	2	8	1	4	0	4	0	2	1	0	0	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0	2	+	1372724	1373244	2	1	1	1	0	1	0	1	0	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	brass	4	NA	NA	NA	NA	NA	NA	NA	T2_T3_T4_T6_T8_T10
T2_T3_T4_T5_T6_T8_T9_T10_T11	#646464	trunk	high	305	chromothripsis	1	none	2	1562893	1562895	2	23100807	23100809	-	-	0	0	11	7	16	8	12	0	5	19	20	13	0	0	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0	2	-	1562625	1563045	2	1	1	1	1	1	0	1	1	1	1	0	0	NA	NA	NA	NA	NA	3	brass,gridss,svaba	20	20	20	3	svaba,gridss,brass	13	12	13	3	brass,gridss,svaba	11	11	11	2	gridss,brass	7	NA	7	3	brass,gridss,svaba	16	15	16	3	svaba,gridss,brass	8	8	8	3	brass,gridss,svaba	12	12	12	NA	NA	NA	NA	NA	1	brass	5	NA	NA	2	gridss,brass	19	NA	19	T2_T3_T4_T5_T6_T8_T9_T10_T11
T2_T3_T4_T5_T6_T8_T9_T10_T11	#646464	trunk	high	14	chromothripsis	1	none	2	1562916	1562918	2	15594824	15594824	-	+	0	0	2	2	8	4	2	0	2	4	6	7	0	0	_	_	_	_	_	_	_	_	_	NBAS	NBAS	ENST00000281513	-1	2	intron	21	52	_	0	2	-	1562539	1563068	2	1	1	1	1	1	0	1	1	1	1	0	0	NA	NA	NA	NA	NA	1	brass	6	NA	NA	3	svaba,gridss,brass	7	7	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	brass,gridss,svaba	8	8	8	1	brass	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	brass	4	NA	NA	T2_T3_T4_T5_T6_T8_T9_T10_T11
T2_T3_T4_T5_T6_T8_T9_T10_T11	#646464	trunk	high	372	chromothripsis	1	none	2	1563095	1563097	2	47654205	47654207	-	-	0	0	4	8	13	11	20	1	8	7	21	13	0	0	_	_	_	_	_	_	_	_	_	MSH2	MSH2	ENST00000233146	1	2	intron	6	16	_	0	2	-	1562999	1563247	2	1	1	1	1	1	0	1	1	1	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	gridss,svaba	NA	20	19	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	T2_T3_T4_T5_T6_T8_T9_T10_T11
T2_T3_T4_T5_T6_T8_T9_T10_T11	#646464	trunk	high	370	chromothripsis	1	none	2	1563099	1563101	2	47654143	47654145	-	-	0	0	4	8	13	11	20	1	8	7	21	13	0	0	_	_	_	_	_	_	_	_	_	MSH2	MSH2	ENST00000233146	1	2	intron	6	16	_	0	2	-	1562999	1563247	2	1	1	1	1	1	0	1	1	1	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	svaba,brass	8	8	NA	NA	NA	NA	NA	NA	T2_T3_T4_T5_T6_T8_T9_T10_T11
T2_T3_T4_T5_T6_T8_T9_T10_T11	#646464	trunk	high	312	chromothripsis	1	none	2	1563104	1563105	2	23790777	23790778	+	+	0	0	14	19	29	24	22	0	14	27	35	26	0	0	_	_	_	_	_	_	_	_	_	KLHL29	KLHL29	ENST00000486442	1	0	intron	3	14	_	0	2	+	1563038	1563440	2	1	1	1	1	1	0	1	1	1	1	0	0	NA	NA	NA	NA	NA	3	brass,gridss,svaba	35	34	35	3	svaba,gridss,brass	26	26	26	3	brass,gridss,svaba	14	13	14	3	svaba,gridss,brass	19	17	19	3	brass,gridss,svaba	29	28	29	3	svaba,gridss,brass	24	24	24	3	brass,gridss,svaba	22	22	22	NA	NA	NA	NA	NA	3	gridss,svaba,brass	14	14	14	3	gridss,brass,svaba	27	26	27	T2_T3_T4_T5_T6_T8_T9_T10_T11
T2_T3_T4_T5_T6_T8_T9_T10_T11	#646464	trunk	high	339	chromothripsis	1	none	2	1563105	1563105	2	43731355	43731355	+	+	0	0	10	14	27	13	17	1	13	15	20	16	0	0	_	_	_	_	_	_	_	_	_	THADA	THADA	ENST00000405006	-1	0	intron	24	38	_	0	2	+	1563040	1563440	2	1	1	1	1	1	0	1	1	1	1	0	0	NA	NA	NA	NA	NA	1	brass	20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	T2_T3_T4_T5_T6_T8_T9_T10_T11
T2_T3_T4_T5_T6_T8_T9_T10_T11	#646464	trunk	high	341	chromothripsis	1	none	2	1758031	1758033	2	44359204	44359206	-	-	0	0	4	4	7	4	4	0	3	5	8	5	0	0	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0	2	-	1757774	1758184	2	1	1	1	1	1	0	1	1	1	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	brass,svaba	7	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	T2_T3_T4_T5_T6_T8_T9_T10_T11
T2_T3_T4_T5_T6_T8_T9_T10_T11	#646464	trunk	high	309	chromothripsis	1	none	2	1758100	1758100	2	23545871	23545873	+	-	0	0	14	16	13	10	9	0	6	13	24	19	0	0	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0	2	+	1758004	1758179	2	1	1	1	1	1	0	1	1	1	1	0	0	NA	NA	NA	NA	NA	2	gridss,svaba	NA	24	24	NA	NA	NA	NA	NA	2	gridss,svaba	NA	12	14	NA	NA	NA	NA	NA	2	gridss,svaba	NA	13	13	NA	NA	NA	NA	NA	2	gridss,svaba	NA	9	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	T2_T3_T4_T5_T6_T8_T9_T10_T11
T2_T3_T4_T5_T6_T8_T9_T10_T11	#646464	trunk	high	303	chromothripsis	1	none	2	1758354	1758354	2	22688644	22688646	+	-	0	0	4	2	4	1	2	1	1	1	3	2	0	0	_	_	_	_	_	_	_	_	_	AC068490.2	AC068490.2	ENST00000450551	-1	_	UTRintron	1	5	_	0	2	+	1758317	1758744	2	1	1	1	0	1	0	0	0	1	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	brass	4	NA	NA	NA	NA	NA	NA	NA	1	brass	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	T2_T3_T4_T6_T10_T11
T2_T3_T4_T5_T6_T8_T9_T10_T11	#646464	trunk	high	354	chromothripsis	1	none	2	2329768	2329769	2	45192582	45192583	-	+	0	0	0	1	3	4	3	0	1	4	4	3	0	0	MYT1L	MYT1L	ENST00000428368	-1	_	5UTRintron	1	25	_	AC012354.6	AC012354.6	ENST00000425325	1	_	UTRintron	3	4	_	100	2	-	2329374	2329920	2	0	0	1	1	1	0	0	1	1	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	gridss,svaba	NA	2	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	T4_T5_T6_T9_T10_T11
