id	presence.summary	confidence	subs_clone	event_type	event_id	csv_locus	color	ClusterSV_event_type	ClusterSV_cluster_id	ClusterSV_num_SV_in_cluster	ClusterSV_footprint_id_low_end	ClusterSV_footprint_id_high_end	ClusterSV_start_end_low_end_footprint	ClusterSV_start_end_high_end_footprint	ClusterSV_p_value	chr1	start1	end1	chr2	start2	end2	strand1	strand2	rearr_type	bkpt_distance	I.H.116987.T1.1.D1.1.count	I.H.116987.T2.1.D1.1.count	I.H.116987.T3.1.D1.1.count	I.H.116987.T4.1.D1.1.count	I.H.116987.T5.1.D1.1.count	gene1	gene1_id	gene1_transcript_id	gene1_strand	gene1_end_phase	gene1_region	gene1_region_number	gene1_total_region_count	gene1_first_last	gene2	gene2_id	gene2_transcript_id	gene2_strand	gene2_phase	gene2_region	gene2_region_number	gene2_total_region_count	gene2_first_last	fusion_flag
65	T1_T2_T5	high	D1,D2 100%	chromothripsis	5	mycn	#6C00DF	complex	1	29	1.chr2.1	1.chr2.1	15022682.5-16524047	15022682.5-16524047	0.000825915	2	15046692	15046692	2	15809085	15809087	+	-	0	0	68	84	0	0	3	AC068286.1	AC068286.1	ENST00000416173	-1	_	UTRintron	1	3	_	_	_	_	_	_	_	_	_	_	0
347	T1_T2	high	D1,D2 100%	chromothripsis	5	mycn	#6C00DF	complex	1_2	227	1.chr2.9	1.chr2.12	15028507-15370705	16346957-16580599	0.041617835	2	15047336	15047338	2	16501095	16501097	-	-	0	0	86	60	0	0	0	AC068286.1	AC068286.1	ENST00000416173	-1	_	UTRintron	1	3	_	_	_	_	_	_	_	_	_	_	0
19	T1_T2	high	D1,D2 100%	chromothripsis	5	mycn	#6C00DF	complex	1_2	227	1.chr2.9	1.chr2.9	15028507-15370705	15028507-15370705	0.041617835	2	15047476	15047476	2	15361183	15361183	+	+	0	0	91	61	0	0	0	AC068286.1	AC068286.1	ENST00000416173	-1	_	UTRintron	1	3	_	NBAS	NBAS	ENST00000281513	-1	2	intron	47	52	_	180
12	T1_T2	high	D1,D2 100%	chromothripsis	5	mycn	#6C00DF	complex	1_2	227	1.chr2.9	1.chr2.9	15028507-15370705	15028507-15370705	0.041617835	2	15050694	15050694	2	15084398	15084398	+	+	0	0	90	81	0	0	0	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0
59	T1_T2	high	D1,D2 100%	chromothripsis	5	mycn	#6C00DF	complex	1_2	227	1.chr2.9	1.chr2.11	15028507-15370705	15501905-16255326	0.041617835	2	15054590	15054592	2	15769678	15769678	-	+	0	0	371	293	0	0	1	_	_	_	_	_	_	_	_	_	DDX1	DDX1	ENST00000381341	1	0	intron	24	27	_	0
96	T1_T2	high	D1,D2 100%	chromothripsis	5	mycn	#6C00DF	complex	1_2	227	1.chr2.9	1.chr2.11	15028507-15370705	15501905-16255326	0.041617835	2	15057863	15057863	2	15966813	15966813	+	+	0	0	102	83	0	0	0	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0
206	T1_T2	high	D1,D2 100%	chromothripsis	5	mycn	#6C00DF	complex	1_2	227	1.chr2.9	1.chr2.11	15028507-15370705	15501905-16255326	0.041617835	2	15061927	15061927	2	16170229	16170231	+	-	0	0	94	77	0	0	0	_	_	_	_	_	_	_	_	_	AC010145.4	AC010145.4	ENST00000422415	-1	_	UTRintron	2	3	_	0
63	T1_T2	high	D1,D2 100%	chromothripsis	5	mycn	#6C00DF	complex	1_2	227	1.chr2.9	1.chr2.11	15028507-15370705	15501905-16255326	0.041617835	2	15067331	15067333	2	15787255	15787257	-	-	0	0	104	61	0	0	1	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0
311	T1_T2	high	D1,D2 100%	chromothripsis	5	mycn	#6C00DF	complex	1_2	227	1.chr2.9	1.chr2.12	15028507-15370705	16346957-16580599	0.041617835	2	15068876	15068876	2	16403850	16403850	+	+	0	0	102	93	0	0	0	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0
179	T1_T2	high	D1,D2 100%	chromothripsis	5	mycn	#6C00DF	complex	1_2	227	1.chr2.9	1.chr2.11	15028507-15370705	15501905-16255326	0.041617835	2	15069196	15069198	2	16117916	16117916	-	+	0	0	70	79	0	0	0	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0
243	T1_T2_T5	high	D1,D2 100%	chromothripsis	5	mycn	#6C00DF	complex	1	29	1.chr2.1	1.chr2.1	15022682.5-16524047	15022682.5-16524047	0.000825915	2	15071075	15071075	2	16188338	16188340	+	-	0	0	226	409	0	0	6	_	_	_	_	_	_	_	_	_	AC010145.4	AC010145.4	ENST00000422415	-1	_	UTRintron	2	3	_	0
244	T1_T2_T5	high	D1,D2 100%	chromothripsis	5	mycn	#6C00DF	complex	1	29	1.chr2.1	1.chr2.1	15022682.5-16524047	15022682.5-16524047	0.000825915	2	15071102	15071102	2	16189249	16189249	+	+	0	0	389	579	0	0	5	_	_	_	_	_	_	_	_	_	AC010145.4	AC010145.4	ENST00000422415	-1	_	UTRintron	2	3	_	0
372	T1_T2	high	D1,D2 100%	chromothripsis	5	mycn	#6C00DF	complex	1_2	227	1.chr2.9	1.chr2.12	15028507-15370705	16346957-16580599	0.041617835	2	15073017	15073019	2	16559208	16559208	-	+	0	0	33	26	0	0	0	_	_	_	_	_	_	_	_	_	AC010880.1	AC010880.1	ENST00000427950	1	_	UTRintron	1	4	_	0
151	T1_T2	high	D1,D2 100%	chromothripsis	5	mycn	#6C00DF	complex	1_2	227	1.chr2.9	1.chr2.11	15028507-15370705	15501905-16255326	0.041617835	2	15073118	15073120	2	16089623	16089625	-	-	0	0	27	32	0	0	0	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0
238	T1_T2	high	D1,D2 100%	chromothripsis	5	mycn	#6C00DF	complex	1_2	227	1.chr2.9	1.chr2.11	15028507-15370705	15501905-16255326	0.041617835	2	15073118	15073120	2	16183224	16183224	-	+	0	0	28	31	0	0	0	_	_	_	_	_	_	_	_	_	AC010145.4	AC010145.4	ENST00000422415	-1	_	UTRintron	2	3	_	0
116	T1_T2	high	D1,D2 100%	chromothripsis	5	mycn	#6C00DF	complex	1_2	227	1.chr2.9	1.chr2.11	15028507-15370705	15501905-16255326	0.041617835	2	15073120	15073120	2	16019996	16019998	+	-	0	0	16	16	0	0	0	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0
373	T1_T2	high	D1,D2 100%	chromothripsis	5	mycn	#6C00DF	complex	1_2	227	1.chr2.9	1.chr2.12	15028507-15370705	16346957-16580599	0.041617835	2	15073153	15073155	2	16559470	16559472	-	-	0	0	22	13	0	0	0	_	_	_	_	_	_	_	_	_	AC010880.1	AC010880.1	ENST00000427950	1	_	UTRintron	1	4	_	0
89	T1_T2	high	D1,D2 100%	chromothripsis	5	mycn	#6C00DF	complex	1_2	227	1.chr2.9	1.chr2.11	15028507-15370705	15501905-16255326	0.041617835	2	15075481	15075481	2	15932896	15932896	+	+	0	0	88	85	0	0	0	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0
180	T1_T2	high	D1,D2 100%	chromothripsis	5	mycn	#6C00DF	complex	1_2	227	1.chr2.9	1.chr2.11	15028507-15370705	15501905-16255326	0.041617835	2	15077376	15077376	2	16122068	16122068	+	+	0	0	78	63	0	0	1	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0
231	T1_T2	high	D1,D2 100%	chromothripsis	5	mycn	#6C00DF	complex	1_2	227	1.chr2.9	1.chr2.11	15028507-15370705	15501905-16255326	0.041617835	2	15082166	15082168	2	16180013	16180015	-	-	0	0	58	63	0	0	0	_	_	_	_	_	_	_	_	_	AC010145.4	AC010145.4	ENST00000422415	-1	_	UTRintron	2	3	_	0
64	T1_T2	high	D1,D2 100%	chromothripsis	5	mycn	#6C00DF	complex	1_2	227	1.chr2.9	1.chr2.11	15028507-15370705	15501905-16255326	0.041617835	2	15085305	15085307	2	15787646	15787646	-	+	0	0	82	73	0	0	0	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0
60	T1_T2_T5	high	D1,D2 100%	chromothripsis	5	mycn	#6C00DF	complex	1	29	1.chr2.1	1.chr2.1	15022682.5-16524047	15022682.5-16524047	0.000825915	2	15087492	15087493	2	15774350	15774351	+	-	0	0	2782	2373	1	1	10	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0
25	T1_T2_T5	high	D1,D2 100%	chromothripsis	5	mycn	#6C00DF	complex	1	29	1.chr2.1	1.chr2.1	15022682.5-16524047	15022682.5-16524047	0.000825915	2	15089813	15089815	2	15491228	15491230	-	-	0	0	3894	3028	0	0	16	_	_	_	_	_	_	_	_	_	NBAS	NBAS	ENST00000281513	-1	0	intron	35	52	_	0
240	T1_T2	high	D1,D2 100%	chromothripsis	5	mycn	#6C00DF	complex	1_2	227	1.chr2.9	1.chr2.11	15028507-15370705	15501905-16255326	0.041617835	2	15100817	15100819	2	16184166	16184168	-	-	0	0	51	45	0	0	0	_	_	_	_	_	_	_	_	_	AC010145.4	AC010145.4	ENST00000422415	-1	_	UTRintron	2	3	_	0
363	T1_T2	high	D1,D2 100%	chromothripsis	5	mycn	#6C00DF	complex	1_2	227	1.chr2.9	1.chr2.12	15028507-15370705	16346957-16580599	0.041617835	2	15100817	15100819	2	16558542	16558542	-	+	0	0	39	30	0	0	0	_	_	_	_	_	_	_	_	_	AC010880.1	AC010880.1	ENST00000427950	1	_	UTRintron	1	4	_	0
49	T1_T2	high	D1,D2 100%	chromothripsis	5	mycn	#6C00DF	complex	1_2	227	1.chr2.9	1.chr2.11	15028507-15370705	15501905-16255326	0.041617835	2	15106195	15106197	2	15703116	15703118	-	-	0	0	88	89	0	0	0	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0
55	T1_T2	high	D1,D2 100%	chromothripsis	5	mycn	#6C00DF	complex	1_2	227	1.chr2.9	1.chr2.11	15028507-15370705	15501905-16255326	0.041617835	2	15118088	15118090	2	15758581	15758583	-	-	0	0	117	76	0	0	0	_	_	_	_	_	_	_	_	_	DDX1	DDX1	ENST00000381341	1	0	intron	17	27	_	0
293	T1_T2	high	D1,D2 100%	chromothripsis	5	mycn	#6C00DF	complex	1_2	227	1.chr2.9	1.chr2.12	15028507-15370705	16346957-16580599	0.041617835	2	15120410	15120410	2	16386614	16386614	+	+	0	0	82	50	0	0	0	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0
47	T1_T2	high	D1,D2 100%	chromothripsis	5	mycn	#6C00DF	complex	1_2	227	1.chr2.9	1.chr2.11	15028507-15370705	15501905-16255326	0.041617835	2	15122773	15122773	2	15699597	15699597	+	+	0	0	96	70	0	0	0	_	_	_	_	_	_	_	_	_	NBAS	NBAS	ENST00000281513	-1	0	intron	1	52	_	0
93	T1_T2	high	D1,D2 100%	chromothripsis	5	mycn	#6C00DF	complex	1_2	227	1.chr2.9	1.chr2.11	15028507-15370705	15501905-16255326	0.041617835	2	15153318	15153320	2	15956946	15956946	-	+	0	0	93	93	0	0	0	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0
187	T1_T2	high	D1,D2 100%	chromothripsis	5	mycn	#6C00DF	complex	1_2	227	1.chr2.9	1.chr2.11	15028507-15370705	15501905-16255326	0.041617835	2	15153949	15153951	2	16129352	16129354	-	-	0	0	176	135	0	0	0	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0
257	T1_T2	high	D1,D2 100%	chromothripsis	5	mycn	#6C00DF	complex	1_2	227	1.chr2.9	1.chr2.11	15028507-15370705	15501905-16255326	0.041617835	2	15161991	15161991	2	16227796	16227798	+	-	0	0	148	112	0	0	0	_	_	_	_	_	_	_	_	_	AC142119.1	AC142119.1	ENST00000412381	-1	_	UTRintron	3	4	_	0
428	T1_T2	high	D1,D2 100%	chromothripsis	5	mycn	#6C00DF	complex	1_2	227	1.chr2.9	1.chr12.3	15028507-15370705	66451462-66451463	0.041617835	2	15166456	15166456	12	66451462	66451464	+	-	0	0	64	83	0	2	1	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0
420	T1_T2	high	D1,D2 100%	chromothripsis	5	mycn	#6C00DF	complex	1_2	227	1.chr2.9	1.chr12.2	15028507-15370705	66451372-66451373	0.041617835	2	15166613	15166615	12	66451372	66451372	-	+	0	0	124	118	5	7	0	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0
348	T1_T2	high	D1,D2 100%	chromothripsis	5	mycn	#6C00DF	complex	1_2	227	1.chr2.9	1.chr2.12	15028507-15370705	16346957-16580599	0.041617835	2	15169775	15169777	2	16501337	16501337	-	+	0	0	55	52	0	0	0	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0
349	T1_T2	high	D1,D2 100%	chromothripsis	5	mycn	#6C00DF	complex	1_2	227	1.chr2.9	1.chr2.12	15028507-15370705	16346957-16580599	0.041617835	2	15169788	15169788	2	16501337	16501337	+	+	0	0	33	24	0	0	1	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0
14	T1_T2	high	D1,D2 100%	chromothripsis	5	mycn	#6C00DF	complex	1_2	227	1.chr2.9	1.chr2.9	15028507-15370705	15028507-15370705	0.041617835	2	15171183	15171183	2	15237918	15237920	+	-	0	0	91	66	0	0	0	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0
92	T1_T2	high	D1,D2 100%	chromothripsis	5	mycn	#6C00DF	complex	1_2	227	1.chr2.9	1.chr2.11	15028507-15370705	15501905-16255326	0.041617835	2	15171945	15171947	2	15946922	15946924	-	-	0	0	72	66	0	0	0	_	_	_	_	_	_	_	_	_	AC113608.1	AC113608.1	ENST00000448379	-1	_	UTRintron	1	2	_	0
79	T1_T2_T5	high	D1,D2 100%	chromothripsis	5	mycn	#6C00DF	complex	1	29	1.chr2.1	1.chr2.1	15022682.5-16524047	15022682.5-16524047	0.000825915	2	15186004	15186007	2	15898211	15898214	+	-	0	0	3332	2747	1	1	14	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0
142	T1_T2_T5	high	D1,D2 100%	chromothripsis	5	mycn	#6C00DF	complex	1	29	1.chr2.1	1.chr2.1	15022682.5-16524047	15022682.5-16524047	0.000825915	2	15188225	15188227	2	16086350	16086350	-	+	0	0	2428	1929	1	1	8	_	_	_	_	_	_	_	_	_	MYCN	MYCN	ENST00000281043	1	_	3UTRexon	3	3	_	0
76	T1_T2	high	D1,D2 100%	chromothripsis	5	mycn	#6C00DF	complex	1_2	227	1.chr2.9	1.chr2.11	15028507-15370705	15501905-16255326	0.041617835	2	15197132	15197134	2	15896290	15896292	-	-	0	0	63	54	0	0	0	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0
81	T1_T2	high	D1,D2 100%	chromothripsis	5	mycn	#6C00DF	complex	1_2	227	1.chr2.9	1.chr2.11	15028507-15370705	15501905-16255326	0.041617835	2	15197132	15197134	2	15904698	15904698	-	+	0	0	10	9	0	0	0	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0
332	T1_T2	high	D1,D2 100%	chromothripsis	5	mycn	#6C00DF	complex	1_2	227	1.chr2.9	1.chr2.12	15028507-15370705	16346957-16580599	0.041617835	2	15197132	15197134	2	16463483	16463483	-	+	0	0	7	13	0	0	0	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0
146	T1_T2	high	D1,D2 100%	chromothripsis	5	mycn	#6C00DF	complex	1_2	227	1.chr2.9	1.chr2.11	15028507-15370705	15501905-16255326	0.041617835	2	15197655	15197657	2	16089347	16089347	-	+	0	0	21	21	0	0	0	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0
162	T1_T2	high	D1,D2 100%	chromothripsis	5	mycn	#6C00DF	complex	1_2	227	1.chr2.9	1.chr2.11	15028507-15370705	15501905-16255326	0.041617835	2	15197655	15197657	2	16114938	16114938	-	+	0	0	24	19	0	0	0	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0
228	T1_T2	high	D1,D2 100%	chromothripsis	5	mycn	#6C00DF	complex	1_2	227	1.chr2.9	1.chr2.11	15028507-15370705	15501905-16255326	0.041617835	2	15197667	15197667	2	16175458	16175460	+	-	0	0	84	55	0	0	1	_	_	_	_	_	_	_	_	_	AC010145.4	AC010145.4	ENST00000422415	-1	_	UTRintron	2	3	_	0
172	T1_T2	high	D1,D2 100%	chromothripsis	5	mycn	#6C00DF	complex	1_2	227	1.chr2.9	1.chr2.11	15028507-15370705	15501905-16255326	0.041617835	2	15197840	15197840	2	16115779	16115781	+	-	0	0	12	10	0	0	0	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0
84	T1_T2	high	D1,D2 100%	chromothripsis	5	mycn	#6C00DF	complex	1_2	227	1.chr2.9	1.chr2.11	15028507-15370705	15501905-16255326	0.041617835	2	15197941	15197943	2	15905158	15905160	-	-	0	0	36	37	0	0	0	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0
175	T1_T2	high	D1,D2 100%	chromothripsis	5	mycn	#6C00DF	complex	1_2	227	1.chr2.9	1.chr2.11	15028507-15370705	15501905-16255326	0.041617835	2	15197941	15197943	2	16115971	16115971	-	+	0	0	13	9	0	0	0	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0
75	T1_T2	high	D1,D2 100%	chromothripsis	5	mycn	#6C00DF	complex	1_2	227	1.chr2.9	1.chr2.11	15028507-15370705	15501905-16255326	0.041617835	2	15197950	15197950	2	15895925	15895925	+	+	0	0	28	28	0	0	0	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0
103	T1_T2	high	D1,D2 100%	chromothripsis	5	mycn	#6C00DF	complex	1_2	227	1.chr2.9	1.chr2.11	15028507-15370705	15501905-16255326	0.041617835	2	15197950	15197950	2	15998137	15998139	+	-	0	0	10	13	0	0	0	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0
211	T1_T2	high	D1,D2 100%	chromothripsis	5	mycn	#6C00DF	complex	1_2	227	1.chr2.9	1.chr2.11	15028507-15370705	15501905-16255326	0.041617835	2	15197950	15197950	2	16174014	16174016	+	-	0	0	8	13	0	0	0	_	_	_	_	_	_	_	_	_	AC010145.4	AC010145.4	ENST00000422415	-1	_	UTRintron	2	3	_	0
330	T1_T2	high	D1,D2 100%	chromothripsis	5	mycn	#6C00DF	complex	1_2	227	1.chr2.9	1.chr2.12	15028507-15370705	16346957-16580599	0.041617835	2	15198099	15198101	2	16463474	16463476	-	-	0	0	59	53	0	0	0	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0
249	T1_T2	high	D1,D2 100%	chromothripsis	5	mycn	#6C00DF	complex	1_2	227	1.chr2.9	1.chr2.11	15028507-15370705	15501905-16255326	0.041617835	2	15198354	15198354	2	16201323	16201325	+	-	0	0	70	65	0	0	0	_	_	_	_	_	_	_	_	_	AC130710.1	AC130710.1	ENST00000426539	1	_	UTRintron	1	4	_	0
61	T1_T2	high	D1,D2 100%	chromothripsis	5	mycn	#6C00DF	complex	1_2	227	1.chr2.9	1.chr2.11	15028507-15370705	15501905-16255326	0.041617835	2	15229489	15229490	2	15779092	15779093	+	+	0	0	2065	1737	0	3	12	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0
138	T1_T2_T5	high	D1,D2 100%	chromothripsis	5	mycn	#6C00DF	complex	1	29	1.chr2.1	1.chr2.1	15022682.5-16524047	15022682.5-16524047	0.000825915	2	15231170	15231172	2	16085072	16085074	-	-	0	0	3463	3049	0	0	9	_	_	_	_	_	_	_	_	_	MYCN	MYCN	ENST00000281043	1	1	intron	2	3	_	0
356	T1_T2	high	D1,D2 100%	chromothripsis	5	mycn	#6C00DF	complex	1_2	227	1.chr2.9	1.chr2.12	15028507-15370705	16346957-16580599	0.041617835	2	15248893	15248895	2	16515302	16515304	-	-	0	0	135	126	0	0	0	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0
309	T1_T2	high	D1,D2 100%	chromothripsis	5	mycn	#6C00DF	complex	1_2	227	1.chr2.9	1.chr2.12	15028507-15370705	16346957-16580599	0.041617835	2	15249774	15249776	2	16402138	16402138	-	+	0	0	176	119	0	0	0	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0
327	T1_T2	high	D1,D2 100%	chromothripsis	5	mycn	#6C00DF	complex	1_2	227	1.chr2.9	1.chr2.12	15028507-15370705	16346957-16580599	0.041617835	2	15249881	15249881	2	16461186	16461186	+	+	0	0	83	78	0	0	0	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0
67	T1_T2	high	D1,D2 100%	chromothripsis	5	mycn	#6C00DF	complex	1_2	227	1.chr2.9	1.chr2.11	15028507-15370705	15501905-16255326	0.041617835	2	15257655	15257657	2	15824479	15824481	-	-	0	0	323	269	0	0	1	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0
71	T1_T2	high	D1,D2 100%	chromothripsis	5	mycn	#6C00DF	complex	1_2	227	1.chr2.9	1.chr2.11	15028507-15370705	15501905-16255326	0.041617835	2	15259675	15259677	2	15850972	15850974	-	-	0	0	52	36	0	0	0	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0
