id	presence.summary	confidence	subs_clone	event_type	event_id	csv_locus	color	ClusterSV_event_type	ClusterSV_cluster_id	ClusterSV_num_SV_in_cluster	ClusterSV_footprint_id_low_end	ClusterSV_footprint_id_high_end	ClusterSV_start_end_low_end_footprint	ClusterSV_start_end_high_end_footprint	ClusterSV_p_value	chr1	start1	end1	chr2	start2	end2	strand1	strand2	rearr_type	bkpt_distance	I.H.118706.T20.01.WG01.count	I.H.118706.T1.1.D1.1.count	I.H.118706.T10.1.D1.1.count	I.H.118706.T11.1.D1.1.count	I.H.118706.T12.1.D1.1.count	I.H.118706.T13.1.D1.1.count	I.H.118706.T14.1.D1.1.count	I.H.118706.T15.1.D1.1.count	I.H.118706.T16.1.D1.1.count	I.H.118706.T17.1.D1.1.count	I.H.118706.T2.1.D1.1.count	I.H.118706.T3.1.D1.1.count	I.H.118706.T4.1.D1.1.count	I.H.118706.T5.1.D1.1.count	I.H.118706.T9.1.D1.1.count	I.H.118706.T19.1.D1.1.count	I.H.118706.T19.2.D1.1.count	I.H.118706.T19.3.D1.1.count	gene1	gene1_id	gene1_transcript_id	gene1_strand	gene1_end_phase	gene1_region	gene1_region_number	gene1_total_region_count	gene1_first_last	gene2	gene2_id	gene2_transcript_id	gene2_strand	gene2_phase	gene2_region	gene2_region_number	gene2_total_region_count	gene2_first_last	fusion_flag
6	T10	high_conf	T10_100	complex_unclassified	13	none	#C591FC	complex	1	2	1.chr1.1	1.chr1.1	174442686-174743723.5	174442686-174743723.5	1.42E-05	1	174710718	174710719	1	174743723	174743724	+	+	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	RABGAP1L	RABGAP1L	ENST00000251507	1	0	intron	17	21	_	RABGAP1L	RABGAP1L	ENST00000251507	1	0	intron	18	21	_	880
7	T11	high_conf	T11_82	simple_deletion	27	none	#8B24F9	simple_deletion	2	1	2.chr1.1	2.chr1.2	187484164.5-187484164.5	197333999.5-197333999.5	NA	1	187484162	187484167	1	197333997	197334002	+	+	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	_	_	_	_	_	_	_	_	_	CRB1	CRB1	ENST00000367400	1	1	intron	5	12	_	0
396	T3	high_conf	T3_100	reciprocal_translocation	74	none	#FF0080	complex	1	3	1.chr1.1	1.chr6.2	187492652-187492996	129379858-129379869	1.76E-07	1	187492651	187492653	6	129379869	129379869	-	+	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	_	_	_	_	_	_	_	_	_	LAMA2	LAMA2	ENST00000421865	1	1	intron	2	65	_	0
399	T3	high_conf	T3_100	reciprocal_translocation	74	none	#FF0080	complex	1	3	1.chr1.1	1.chr6.3	187492652-187492996	157554741-157554747	1.76E-07	1	187492996	187492996	6	157554746	157554748	+	-	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0
428	T14	high_conf	T14_62	complex_unclassified	38	none	#E5D1C0	complex	10	2	NA	NA	NA	NA	NA	2	11360476	11360476	5	116575827	116575827	+	+	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	ROCK2	ROCK2	ENST00000315872	-1	2	intron	9	33	_	_	_	_	_	_	_	_	_	_	0
427	T14	high_conf	T14_62	complex_unclassified	38	none	#E5D1C0	complex	10	2	NA	NA	NA	NA	NA	2	11360491	11360493	5	116575544	116575546	-	-	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	ROCK2	ROCK2	ENST00000315872	-1	2	intron	9	33	_	_	_	_	_	_	_	_	_	_	0
517	T20/T1/T10/T11/T12/T13/T14/T15/T16/T17/T3/T4/T5/T9/T19_1/T19_2/T19_3	high_conf	trunk	DM	3	mycn	#646464	complex	11	5	NA	NA	NA	NA	NA	2	15794759	15794858	2	16402781	16402878	-	+	0	0	5781	340	1674	1072	1737	1334	1929	445	1965	1500	48	1463	1486	2187	873	1227	924	845																			NA
77	T10/T11/T12/T13/T14/T15/T16/T17/T3/T4/T5/T9/T19_1/T19_2/T19_3	high_conf	mets_100	chromothripsis	7	mycn	#FF9D00	complex	12	181	NA	NA	NA	NA	NA	2	15795216	15795218	2	16108761	16108763	-	-	0	0	0	0	27	17	22	22	26	7	30	23	0	27	38	36	11	29	16	19	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0
109	T10/T11/T12/T13/T14/T15/T16/T17/T3/T4/T5/T9/T19_1/T19_2/T19_3	high_conf	mets_100	chromothripsis	7	mycn	#FF9D00	complex	12	181	NA	NA	NA	NA	NA	2	15797033	15797036	2	16248403	16248406	+	+	0	0	0	1	17	11	10	12	13	6	14	13	0	16	14	14	12	13	7	10	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0
137	T10/T11/T12/T13/T14/T15/T16/T17/T3/T4/T5/T9/T19_1/T19_2/T19_3	high_conf	mets_100	chromothripsis	7	mycn	#FF9D00	complex	12	181	NA	NA	NA	NA	NA	2	15797494	15797496	2	16400819	16400819	-	+	0	0	0	0	27	23	14	27	19	10	36	25	0	24	23	16	13	24	15	12	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0
327	T10/T11/T12/T13/T14/T15/T16/T17/T3/T4/T5/T9/T19_1/T19_2/T19_3	high_conf	mets_100	chromothripsis	7	mycn	#FF9D00	complex	12	181	NA	NA	NA	NA	NA	2	15801537	15801537	2	16808498	16808500	+	-	0	0	0	0	31	25	20	18	18	7	37	22	0	27	19	28	14	30	18	23	_	_	_	_	_	_	_	_	_	FAM49A	FAM49A	ENST00000381323	-1	_	5UTRintron	1	12	_	0
53	T10/T11/T12/T13/T14/T15/T16/T17/T3/T4/T5/T9/T19_1/T19_2/T19_3	high_conf	mets_100	chromothripsis	7	mycn	#FF9D00	complex	12	181	NA	NA	NA	NA	NA	2	15806606	15806608	2	15937002	15937004	-	-	0	0	0	0	31	24	79	29	38	8	35	31	0	30	23	24	19	34	20	17	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0
197	T10/T11/T12/T13/T14/T15/T16/T17/T3/T4/T5/T9/T19_1/T19_2/T19_3	high_conf	mets_100	chromothripsis	7	mycn	#FF9D00	complex	12	181	NA	NA	NA	NA	NA	2	15807353	15807353	2	16535605	16535607	+	-	0	0	0	0	33	26	49	24	36	13	39	29	0	52	30	32	16	30	15	15	_	_	_	_	_	_	_	_	_	AC010880.1	AC010880.1	ENST00000425176	1	_	UTRintron	1	3	_	0
121	T14	high_conf	T14_62	DM	39	mycn	#E5D1C0	simple_deletion	29	1	NA	NA	NA	NA	NA	2	15810965	15810965	2	16335175	16335175	+	+	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0
227	T10/T11/T12/T13/T14/T15/T16/T17/T3/T4/T5/T9/T19_1/T19_2/T19_3	high_conf	mets_100	chromothripsis	7	mycn	#FF9D00	complex	12	181	NA	NA	NA	NA	NA	2	15812149	15812151	2	16583328	16583330	-	-	0	0	0	0	20	21	21	25	29	5	33	29	0	35	25	32	16	28	10	14	_	_	_	_	_	_	_	_	_	AC010880.1	AC010880.1	ENST00000427950	1	_	UTRintron	2	4	_	0
96	T10/T11/T12/T13/T14/T15/T16/T17/T3/T4/T5/T9/T19_1/T19_2/T19_3	high_conf	mets_100	chromothripsis	7	mycn	#FF9D00	complex	12	181	NA	NA	NA	NA	NA	2	15818717	15818719	2	16224163	16224163	-	+	0	0	0	0	39	30	63	20	29	8	38	27	0	33	33	21	20	18	15	23	_	_	_	_	_	_	_	_	_	AC130710.1	AC130710.1	ENST00000426539	1	_	UTRintron	3	4	_	0
187	T10/T11/T12/T13/T14/T15/T16/T17/T3/T4/T5/T9/T19_1/T19_2/T19_3	high_conf	mets_100	chromothripsis	7	mycn	#FF9D00	complex	12	181	NA	NA	NA	NA	NA	2	15819140	15819142	2	16513370	16513370	-	+	0	0	0	0	27	32	57	26	25	7	49	27	0	23	23	26	22	27	17	13	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0
318	T10/T11/T12/T13/T14/T15/T16/T17/T3/T4/T5/T9/T19_1/T19_2/T19_3	high_conf	mets_100	chromothripsis	7	mycn	#FF9D00	complex	12	181	NA	NA	NA	NA	NA	2	15828013	15828013	2	16789761	16789763	+	-	0	0	0	1	45	22	32	22	20	4	36	41	1	33	23	27	13	23	21	17	_	_	_	_	_	_	_	_	_	FAM49A	FAM49A	ENST00000381323	-1	_	5UTRintron	2	12	_	0
56	T10/T11/T12/T13/T14/T15/T16/T17/T3/T4/T5/T9/T19_1/T19_2/T19_3	high_conf	mets_100	chromothripsis	7	mycn	#FF9D00	complex	12	181	NA	NA	NA	NA	NA	2	15831923	15831925	2	15967439	15967439	-	+	0	0	0	1	42	24	53	43	21	4	36	29	1	23	26	34	22	18	22	16	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0
69	T10/T11/T12/T13/T14/T15/T16/T17/T3/T4/T5/T9/T19_1/T19_2/T19_3	high_conf	mets_100	chromothripsis	7	mycn	#FF9D00	complex	12	181	NA	NA	NA	NA	NA	2	15833610	15833610	2	16068685	16068685	+	+	0	0	0	0	32	18	27	27	26	8	30	22	0	22	19	21	11	33	16	13	_	_	_	_	_	_	_	_	_	MYCNUN	MYCNUN	ENST00000433810	1	_	UTRintron	2	3	_	0
99	T10/T11/T12/T13/T14/T15/T16/T17/T3/T4/T5/T9/T19_1/T19_2/T19_3	high_conf	mets_100	chromothripsis	7	mycn	#FF9D00	complex	12	181	NA	NA	NA	NA	NA	2	15840582	15840582	2	16232667	16232669	+	-	0	0	0	0	31	14	25	26	21	9	32	27	0	30	25	31	12	21	14	20	_	_	_	_	_	_	_	_	_	AC142119.1	AC142119.1	ENST00000412381	-1	_	UTRintron	3	4	_	0
234	T10/T11/T12/T13/T14/T15/T16/T17/T3/T4/T5/T9/T19_1/T19_2/T19_3	high_conf	mets_100	chromothripsis	7	mycn	#FF9D00	complex	12	181	NA	NA	NA	NA	NA	2	15842229	15842231	2	16606658	16606658	-	+	0	0	0	0	40	17	34	35	23	13	44	35	0	42	27	36	21	25	19	12	_	_	_	_	_	_	_	_	_	AC010880.1	AC010880.1	ENST00000427950	1	_	UTRintron	2	4	_	0
125	T5	high_conf	T5_69	DM	85	mycn	#027FFF	inversion	19	1	NA	NA	NA	NA	NA	2	15842806	15842808	2	16366942	16366942	-	+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	1	0	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0
75	T10/T11/T12/T13/T14/T15/T16/T17/T3/T4/T5/T9/T19_1/T19_2/T19_3	high_conf	mets_100	chromothripsis	7	mycn	#FF9D00	complex	12	181	NA	NA	NA	NA	NA	2	15844279	15844279	2	16104230	16104232	+	-	0	0	0	0	37	24	62	22	24	11	29	27	0	27	26	23	26	30	11	20	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0
91	T10/T11/T12/T13/T14/T15/T16/T17/T3/T4/T5/T9/T19_1/T19_2/T19_3	high_conf	mets_100	chromothripsis	7	mycn	#FF9D00	complex	12	181	NA	NA	NA	NA	NA	2	15844893	15844894	2	16194233	16194234	+	-	0	0	0	0	30	27	43	21	23	5	52	36	0	31	35	27	28	19	15	19	_	_	_	_	_	_	_	_	_	AC130710.1	AC130710.1	ENST00000426539	1	_	UTRintron	1	4	_	0
111	T10/T11/T12/T13/T14/T15/T16/T17/T3/T4/T5/T9/T19_1/T19_2/T19_3	high_conf	mets_100	chromothripsis	7	mycn	#FF9D00	complex	12	181	NA	NA	NA	NA	NA	2	15846739	15846739	2	16261936	16261938	+	-	0	0	0	0	29	21	42	27	33	10	34	42	0	31	26	32	21	19	16	25	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0
175	T10/T11/T12/T13/T14/T15/T16/T17/T3/T4/T5/T9/T19_1/T19_2/T19_3	high_conf	mets_100	chromothripsis	7	mycn	#FF9D00	complex	12	181	NA	NA	NA	NA	NA	2	15851108	15851110	2	16494250	16494252	-	-	0	0	0	1	16	11	28	10	7	3	18	11	0	13	14	15	4	15	5	8	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0
108	T10/T11/T12/T13/T14/T15/T16/T17/T3/T4/T5/T9/T19_1/T19_2/T19_3	high_conf	mets_100	chromothripsis	7	mycn	#FF9D00	complex	12	181	NA	NA	NA	NA	NA	2	15857755	15857757	2	16247145	16247145	-	+	0	0	0	1	46	27	61	36	29	7	29	35	0	38	20	24	24	22	17	18	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0
310	T1/T11	high_conf	T1_69__T11_6	DM	12	mycn	#00C700	complex	11	5	NA	NA	NA	NA	NA	2	15858145	15858145	2	16767933	16767933	+	+	0	0	0	95	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	_	_	_	_	_	_	_	_	_	FAM49A	FAM49A	ENST00000381323	-1	1	intron	3	12	_	0
150	T10/T11/T12/T13/T14/T15/T16/T17/T3/T4/T5/T9/T19_1/T19_2/T19_3	high_conf	mets_100	chromothripsis	7	mycn	#FF9D00	complex	12	181	NA	NA	NA	NA	NA	2	15864404	15864404	2	16435841	16435843	+	-	0	0	0	0	32	15	24	32	17	6	24	34	0	28	24	23	24	21	18	17	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0
100	T10/T11/T12/T13/T14/T15/T16/T17/T3/T4/T5/T9/T19_1/T19_2/T19_3	high_conf	mets_100	chromothripsis	7	mycn	#FF9D00	complex	12	181	NA	NA	NA	NA	NA	2	15869169	15869169	2	16235589	16235589	+	+	0	0	0	0	36	21	25	20	26	11	45	30	1	32	34	28	13	27	25	20	_	_	_	_	_	_	_	_	_	AC142119.1	AC142119.1	ENST00000412381	-1	_	UTRintron	3	4	_	0
335	T10/T11/T12/T13/T14/T15/T16/T17/T3/T4/T5/T9/T19_1/T19_2/T19_3	high_conf	mets_100	chromothripsis	7	mycn	#FF9D00	complex	12	181	NA	NA	NA	NA	NA	2	15869918	15869918	2	16823997	16823999	+	-	0	0	0	0	41	23	34	31	18	6	34	38	0	31	26	34	11	35	17	13	_	_	_	_	_	_	_	_	_	FAM49A	FAM49A	ENST00000381323	-1	_	5UTRintron	1	12	_	0
83	T10/T11/T12/T13/T14/T15/T16/T17/T3/T4/T5/T9/T19_1/T19_2/T19_3	high_conf	mets_100	chromothripsis	7	mycn	#FF9D00	complex	12	181	NA	NA	NA	NA	NA	2	15871354	15871354	2	16141110	16141110	+	+	0	0	0	0	35	24	67	34	24	6	47	31	0	23	41	27	21	37	19	17	_	_	_	_	_	_	_	_	_	AC010145.4	AC010145.4	ENST00000422415	-1	_	UTRintron	2	3	_	0
419	T10/T11/T12/T13/T14/T15/T16/T17/T3/T4/T5/T9/T19_1/T19_2/T19_3	high_conf	mets_100	complex_unclassified	7	none	#FF9D00	complex	12	181	NA	NA	NA	NA	NA	2	15871433	15871435	5	55402194	55402196	-	-	0	0	0	0	57	30	35	39	41	10	44	45	1	27	20	37	13	35	22	15	_	_	_	_	_	_	_	_	_	ANKRD55	ANKRD55	ENST00000341048	-1	1	intron	10	12	_	0
295	T1/T11	high_conf	T1_69__T11_6	DM	12	mycn	#00C700	complex	11	5	NA	NA	NA	NA	NA	2	15873056	15873058	2	16741409	16741411	-	-	0	0	0	91	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	_	_	_	_	_	_	_	_	_	FAM49A	FAM49A	ENST00000381323	-1	2	intron	9	12	_	0
219	T10/T11/T12/T13/T14/T15/T16/T17/T3/T4/T5/T9/T19_1/T19_2/T19_3	high_conf	mets_100	chromothripsis	7	mycn	#FF9D00	complex	12	181	NA	NA	NA	NA	NA	2	15876738	15876740	2	16577838	16577838	-	+	0	0	0	0	41	20	31	23	47	11	47	40	0	31	36	32	24	27	23	17	_	_	_	_	_	_	_	_	_	AC010880.1	AC010880.1	ENST00000427950	1	_	UTRintron	2	4	_	0
153	T10/T11/T12/T13/T14/T15/T16/T17/T3/T4/T5/T9/T19_1/T19_2/T19_3	high_conf	mets_100	chromothripsis	7	mycn	#FF9D00	complex	12	181	NA	NA	NA	NA	NA	2	15883118	15883118	2	16437902	16437902	+	+	0	0	0	0	16	14	24	26	23	7	32	29	0	35	21	21	11	22	18	17	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0
73	T10/T11/T12/T13/T14/T15/T16/T17/T3/T4/T5/T9/T19_1/T19_2/T19_3	high_conf	mets_100	chromothripsis	7	mycn	#FF9D00	complex	12	181	NA	NA	NA	NA	NA	2	15884784	15884784	2	16083714	16083714	+	+	0	0	0	0	35	20	27	33	27	8	36	33	1	34	34	27	27	30	25	11	_	_	_	_	_	_	_	_	_	MYCN	MYCN	ENST00000281043	1	1	intron	2	3	_	0
186	T10/T11/T12/T13/T14/T15/T16/T17/T3/T4/T5/T9/T19_1/T19_2/T19_3	high_conf	mets_100	chromothripsis	7	mycn	#FF9D00	complex	12	181	NA	NA	NA	NA	NA	2	15885960	15885962	2	16512463	16512463	-	+	0	0	0	0	43	27	62	34	39	5	45	26	0	31	47	41	16	27	21	27	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0
236	T10/T11/T12/T13/T14/T15/T16/T17/T3/T4/T5/T9/T19_1/T19_2/T19_3	high_conf	mets_100	chromothripsis	7	mycn	#FF9D00	complex	12	181	NA	NA	NA	NA	NA	2	15896838	15896840	2	16613786	16613788	-	-	0	0	0	0	63	32	54	64	62	16	75	59	0	61	60	69	29	67	36	32	_	_	_	_	_	_	_	_	_	AC010880.1	AC010880.1	ENST00000427950	1	_	UTRexon	4	4	_	0
79	T10/T11/T12/T13/T14/T15/T16/T17/T3/T4/T5/T9/T19_1/T19_2/T19_3	high_conf	mets_100	chromothripsis	7	mycn	#FF9D00	complex	12	181	NA	NA	NA	NA	NA	2	15897980	15897980	2	16123692	16123694	+	-	0	0	0	0	27	23	36	30	28	7	36	36	0	27	34	20	14	30	16	21	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0
133	T14	high_conf	T14_62	DM	39	mycn	#E5D1C0	inversion	30	1	NA	NA	NA	NA	NA	2	15904652	15904652	2	16389613	16389615	+	-	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0
264	T10/T11/T12/T13/T14/T15/T16/T17/T3/T4/T5/T9/T19_1/T19_2/T19_3	high_conf	mets_100	chromothripsis	7	mycn	#FF9D00	complex	12	181	NA	NA	NA	NA	NA	2	15905615	15905615	2	16661796	16661798	+	-	0	0	1	0	39	31	34	38	36	7	38	27	0	38	25	31	21	30	21	21	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0
305	T5	high_conf	T5_69	DM	85	mycn	#027FFF	complex	10	7	NA	NA	NA	NA	NA	2	15909474	15909476	2	16756232	16756234	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	_	_	_	_	_	_	_	_	_	FAM49A	FAM49A	ENST00000381323	-1	1	intron	3	12	_	0
116	T10/T11/T12/T13/T14/T15/T16/T17/T3/T4/T5/T9/T19_1/T19_2/T19_3	high_conf	mets_100	chromothripsis	7	mycn	#FF9D00	complex	12	181	NA	NA	NA	NA	NA	2	15918615	15918617	2	16263662	16263664	-	-	0	0	0	0	11	7	8	11	9	3	14	5	0	7	10	8	2	9	3	6	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0
134	T10/T11/T12/T13/T14/T15/T16/T17/T3/T4/T5/T9/T19_1/T19_2/T19_3	high_conf	mets_100	chromothripsis	7	mycn	#FF9D00	complex	12	181	NA	NA	NA	NA	NA	2	15918615	15918617	2	16391219	16391219	-	+	0	0	0	1	20	6	26	21	14	10	26	14	0	10	9	12	5	18	10	9	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0
226	T10/T11/T12/T13/T14/T15/T16/T17/T3/T4/T5/T9/T19_1/T19_2/T19_3	high_conf	mets_100	chromothripsis	7	mycn	#FF9D00	complex	12	181	NA	NA	NA	NA	NA	2	15920477	15920477	2	16583252	16583252	+	+	0	0	0	0	22	16	32	27	14	5	29	25	0	20	23	24	12	19	11	14	_	_	_	_	_	_	_	_	_	AC010880.1	AC010880.1	ENST00000427950	1	_	UTRintron	2	4	_	0
165	T10/T11/T12/T13/T14/T15/T16/T17/T3/T4/T5/T9/T19_1/T19_2/T19_3	high_conf	mets_100	chromothripsis	7	mycn	#FF9D00	complex	12	181	NA	NA	NA	NA	NA	2	15920702	15920704	2	16461820	16461822	-	-	0	0	0	0	31	26	56	27	33	9	33	30	0	32	31	29	17	15	11	11	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0
179	T10/T11/T12/T13/T14/T15/T16/T17/T3/T4/T5/T9/T19_1/T19_2/T19_3	high_conf	mets_100	chromothripsis	7	mycn	#FF9D00	complex	12	181	NA	NA	NA	NA	NA	2	15921544	15921544	2	16501855	16501855	+	+	0	0	0	0	32	22	23	19	19	3	43	25	1	36	29	24	11	21	9	16	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0
155	T5	high_conf	T5_69	DM	85	mycn	#027FFF	complex	10	7	NA	NA	NA	NA	NA	2	15926637	15926637	2	16454999	16455001	+	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0
344	T10/T11/T12/T13/T14/T15/T16/T17/T3/T4/T5/T9/T19_1/T19_2/T19_3	high_conf	mets_100	chromothripsis	7	mycn	#FF9D00	complex	12	181	NA	NA	NA	NA	NA	2	15934043	15934043	2	16831310	16831312	+	-	0	0	0	0	41	23	40	29	41	5	34	38	0	36	31	40	14	27	13	16	_	_	_	_	_	_	_	_	_	FAM49A	FAM49A	ENST00000381323	-1	_	5UTRintron	1	12	_	0
