id	presence.summary	confidence	subs_clone	event_type	event_id	csv_locus	color	ClusterSV_event_type	ClusterSV_cluster_id	ClusterSV_num_SV_in_cluster	ClusterSV_footprint_id_low_end	ClusterSV_footprint_id_high_end	ClusterSV_start_end_low_end_footprint	ClusterSV_start_end_high_end_footprint	ClusterSV_p_value	chr1	start1	end1	chr2	start2	end2	strand1	strand2	rearr_type	bkpt_distance	IID_H201574_T01_01_WG01.count	IID_H201574_T02_01_WG01.count	gene1	gene1_id	gene1_transcript_id	gene1_strand	gene1_end_phase	gene1_region	gene1_region_number	gene1_total_region_count	gene1_first_last	gene2	gene2_id	gene2_transcript_id	gene2_strand	gene2_phase	gene2_region	gene2_region_number	gene2_total_region_count	gene2_first_last	fusion_flag
77	T1/T2	high	trunk	chromothripsis	26	NA	#646464	complex	15	144	15.chr17.1	15.chr17.5	ptel-8406882.5	57539432.5-qtel	0.049952015	17	910538	910538	17	59433798	59433798	+	+	DEL	58523260	35	3	ABR	ABR	ENST00000544583	-1	_	exon	22	23	_	BCAS3	BCAS3	ENST00000390652	1	1	intron	23	25	_	500
361	T1/T2	high	trunk	chromothripsis	26	NA	#646464	complex	15	144	15.chr17.1	15.chr17.3	ptel-8406882.5	26902060-37539424	0.049952015	17	910618	910620	17	36771698	36771698	-	+	T2T_INV	35861080	15	4	ABR	ABR	ENST00000302538	-1	2	intron	21	23	_	_	_	_	_	_	_	_	_	_	0
371	T1/T2	high	trunk	chromothripsis	26	NA	#646464	complex	15	144	15.chr17.1	15.chr17.3	ptel-8406882.5	26902060-37539424	0.049952015	17	910618	910620	17	36771698	36771700	-	-	DUP	35861080	29	10	ABR	ABR	ENST00000302538	-1	2	intron	21	23	_	_	_	_	_	_	_	_	_	_	0
39	T1/T2	high	trunk	chromothripsis	26	NA	#646464	complex	15	144	15.chr17.1	15.chr17.4	ptel-8406882.5	40474355.5-54226789.5	0.049952015	17	1082992	1082994	17	40475431	40475433	+	+	DEL	39392439	49	13	ABR	ABR	ENST00000544583	-1	_	5UTRintron	1	23	_	STAT3	STAT3	ENST00000264657	-1	0	intron	18	24	_	820
311	T1/T2	high	trunk	chromothripsis	26	NA	#646464	complex	15	144	15.chr17.1	15.chr17.3	ptel-8406882.5	26902060-37539424	0.049952015	17	1634470	1634471	17	29386270	29386271	-	-	DUP	27751800	39	7	WDR81	WDR81	ENST00000437219	1	2	exon	4	10	_	_	_	_	_	_	_	_	_	_	0
310	T1/T2	high	trunk	chromothripsis	26	NA	#646464	complex	15	144	15.chr17.1	15.chr17.2	ptel-8406882.5	11547735-21085144	0.049952015	17	1634470	1634472	17	12223088	12223088	-	+	T2T_INV	10588618	18	10	WDR81	WDR81	ENST00000437219	1	_	exon	4	10	_	_	_	_	_	_	_	_	_	_	0
110	T1/T2	high	trunk	chromothripsis	26	NA	#646464	complex	15	144	15.chr17.1	15.chr17.5	ptel-8406882.5	57539432.5-qtel	0.049952015	17	1701915	1701916	17	68898056	68898057	+	-	H2H_INV	67196141	42	6	SMYD4	SMYD4	ENST00000305513	-1	1	intron	5	11	_	_	_	_	_	_	_	_	_	_	0
70	T1/T2	high	trunk	chromothripsis	26	NA	#646464	complex	15	144	15.chr17.1	15.chr17.4	ptel-8406882.5	40474355.5-54226789.5	0.049952015	17	1701933	1701937	17	53577641	53577645	-	+	T2T_INV	51875708	54	18	SMYD4	SMYD4	ENST00000305513	-1	1	intron	5	11	_	RP11-515E23.1	RP11-515E23.1	ENST00000577089	-1	_	UTRintron	1	4	_	200
55	T1/T2	high	trunk	chromothripsis	26	NA	#646464	complex	15	144	15.chr17.1	15.chr17.4	ptel-8406882.5	40474355.5-54226789.5	0.049952015	17	1702535	1702537	17	46086934	46086936	-	-	DUP	44384399	73	22	SMYD4	SMYD4	ENST00000305513	-1	1	intron	5	11	_	_	_	_	_	_	_	_	_	_	0
210	T1/T2	high	trunk	chromothripsis	26	NA	#646464	complex	15	144	15.chr17.1	15.chr17.1	ptel-8406882.5	ptel-8406882.5	0.049952015	17	1702605	1702607	17	5821865	5821867	-	-	DUP	4119260	42	14	SMYD4	SMYD4	ENST00000305513	-1	1	intron	5	11	_	WSCD1	WSCD1	ENST00000573619	1	_	5UTRintron	3	5	_	200
126	T1/T2	high	trunk	chromothripsis	26	NA	#646464	complex	15	144	15.chr17.1	15.chr17.5	ptel-8406882.5	57539432.5-qtel	0.049952015	17	1703202	1703202	17	74373250	74373252	+	-	H2H_INV	72670048	86	30	SMYD4	SMYD4	ENST00000305513	-1	_	exon	5	11	_	SPHK1	SPHK1	ENST00000545180	1	_	5UTRintron	1	8	_	100
84	T1/T2	high	trunk	chromothripsis	26	NA	#646464	complex	15	144	15.chr17.1	15.chr17.5	ptel-8406882.5	57539432.5-qtel	0.049952015	17	1703224	1703224	17	66049613	66049615	+	-	H2H_INV	64346389	87	21	SMYD4	SMYD4	ENST00000305513	-1	_	exon	5	11	_	_	_	_	_	_	_	_	_	_	0
145	T1/T2	high	trunk	chromothripsis	26	NA	#646464	complex	15	144	15.chr17.1	15.chr17.5	ptel-8406882.5	57539432.5-qtel	0.049952015	17	1734080	1734081	17	77412397	77412398	+	-	H2H_INV	75678317	70	17	RPA1	RPA1	ENST00000254719	1	0	intron	1	17	_	RBFOX3	RBFOX3	ENST00000453134	-1	_	5UTRintron	2	15	_	200
431	T1/T2	high	trunk	chromothripsis	26	NA	#646464	complex	15	144	15.chr17.1	15.chr17.4	ptel-8406882.5	40474355.5-54226789.5	0.049952015	17	1735470	1735476	17	41747378	41747384	-	+	T2T_INV	40011908	87	15	RPA1	RPA1	ENST00000254719	1	0	intron	1	17	_	_	_	_	_	_	_	_	_	_	0
153	T1/T2	high	trunk	chromothripsis	26	NA	#646464	complex	15	144	15.chr17.1	15.chr17.1	ptel-8406882.5	ptel-8406882.5	0.049952015	17	1789450	1789450	17	1794188	1794188	+	+	DEL	4738	47	16	RPA1	RPA1	ENST00000254719	1	0	intron	13	17	_	RPA1	RPA1	ENST00000254719	1	0	intron	14	17	_	880
10	T1/T2	high	trunk	chromothripsis	26	NA	#646464	complex	15	144	15.chr17.1	15.chr17.2	ptel-8406882.5	11547735-21085144	0.049952015	17	2917276	2917278	17	16425676	16425678	+	+	DEL	13508400	43	14	RAP1GAP2	RAP1GAP2	ENST00000254695	1	0	intron	17	25	_	_	_	_	_	_	_	_	_	_	0
48	T1/T2	high	trunk	chromothripsis	26	NA	#646464	complex	15	144	15.chr17.1	15.chr17.4	ptel-8406882.5	40474355.5-54226789.5	0.049952015	17	3609889	3609890	17	42439430	42439431	-	-	DUP	38829541	40	18	_	_	_	_	_	_	_	_	_	FAM171A2	FAM171A2	ENST00000293443	-1	1	intron	1	8	_	0
40	T1/T2	high	trunk	chromothripsis	26	NA	#646464	complex	15	144	15.chr17.1	15.chr17.4	ptel-8406882.5	40474355.5-54226789.5	0.049952015	17	5821143	5821143	17	41709549	41709551	+	-	H2H_INV	35888406	58	17	WSCD1	WSCD1	ENST00000573619	1	_	5UTRintron	3	5	_	_	_	_	_	_	_	_	_	_	0
331	T1/T2	high	trunk	chromothripsis	26	NA	#646464	complex	15	144	15.chr17.1	15.chr17.3	ptel-8406882.5	26902060-37539424	0.049952015	17	5821246	5821248	17	34133821	34133821	-	+	T2T_INV	28312575	35	5	WSCD1	WSCD1	ENST00000573619	1	_	5UTRintron	3	5	_	_	_	_	_	_	_	_	_	_	0
410	T1/T2	high	trunk	chromothripsis	26	NA	#646464	complex	15	144	15.chr17.1	15.chr17.2	ptel-8406882.5	11547735-21085144	0.049952015	17	5821258	5821260	17	12223213	12223213	-	+	T2T_INV	6401955	113	32	WSCD1	WSCD1	ENST00000573619	1	_	5UTRintron	3	5	_	_	_	_	_	_	_	_	_	_	0
119	T1/T2	high	trunk	chromothripsis	26	NA	#646464	complex	15	144	15.chr17.1	15.chr17.5	ptel-8406882.5	57539432.5-qtel	0.049952015	17	5821273	5821275	17	71970612	71970612	-	+	T2T_INV	66149339	16	11	WSCD1	WSCD1	ENST00000573619	1	_	5UTRintron	3	5	_	_	_	_	_	_	_	_	_	_	0
1210	T1/T2	high	trunk	chromothripsis	26	NA	#646464	complex	15	144	15.chr17.1	15.chr17.2	ptel-8406882.5	11547735-21085144	0.049952015	17	5821324	5821326	17	19223578	19223578	-	+	T2T_INV	13402254	45	7	WSCD1	WSCD1	ENST00000573619	1	_	5UTRintron	3	5	_	EPN2	EPN2	ENST00000314728	1	1	intron	7	11	_	580
86	T1/T2	high	trunk	chromothripsis	26	NA	#646464	complex	15	144	15.chr17.1	15.chr17.5	ptel-8406882.5	57539432.5-qtel	0.049952015	17	5821434	5821436	17	66049667	66049667	-	+	T2T_INV	60228233	73	26	WSCD1	WSCD1	ENST00000573619	1	_	5UTRintron	3	5	_	_	_	_	_	_	_	_	_	_	0
154	T1/T2	high	trunk	chromothripsis	26	NA	#646464	complex	15	144	15.chr17.1	15.chr17.2	ptel-8406882.5	11547735-21085144	0.049952015	17	5821438	5821438	17	19223847	19223849	+	-	H2H_INV	13402409	203	41	WSCD1	WSCD1	ENST00000573619	1	_	5UTRintron	3	5	_	EPN2	EPN2	ENST00000314728	1	1	intron	7	11	_	580
271	T1/T2	high	trunk	chromothripsis	26	NA	#646464	complex	15	144	15.chr17.1	15.chr17.3	ptel-8406882.5	26902060-37539424	0.049952015	17	5821475	5821477	17	28707586	28707586	-	+	T2T_INV	22886111	12	4	WSCD1	WSCD1	ENST00000573619	1	_	5UTRintron	3	5	_	CPD	CPD	ENST00000225719	1	2	intron	1	21	_	580
129	T1/T2	high	trunk	chromothripsis	26	NA	#646464	complex	15	144	15.chr17.1	15.chr17.5	ptel-8406882.5	57539432.5-qtel	0.049952015	17	5822523	5822524	17	74744523	74744524	-	+	T2T_INV	68922000	42	8	WSCD1	WSCD1	ENST00000573619	1	_	5UTRintron	3	5	_	MFSD11	MFSD11	ENST00000588460	1	2	intron	7	13	_	580
128	T1/T2	high	trunk	chromothripsis	26	NA	#646464	complex	15	144	15.chr17.1	15.chr17.5	ptel-8406882.5	57539432.5-qtel	0.049952015	17	6399854	6399856	17	74744503	74744505	-	-	DUP	68344649	65	25	PITPNM3	PITPNM3	ENST00000262483	-1	1	intron	4	20	_	MFSD11	MFSD11	ENST00000588460	1	2	intron	7	13	_	540
152	T1/T2	high	trunk	chromothripsis	26	NA	#646464	complex	15	144	15.chr17.1	15.chr17.5	ptel-8406882.5	57539432.5-qtel	0.049952015	17	6400090	6400090	17	80218604	80218604	+	+	DEL	73818514	48	10	PITPNM3	PITPNM3	ENST00000262483	-1	1	intron	4	20	_	CSNK1D	CSNK1D	ENST00000314028	-1	1	intron	2	9	_	900
161	T1/T2	high	trunk	chromothripsis	26	NA	#646464	complex	15	144	15.chr17.1	15.chr17.2	ptel-8406882.5	11547735-21085144	0.049952015	17	6400098	6400101	17	19224266	19224269	+	-	H2H_INV	12824168	43	18	PITPNM3	PITPNM3	ENST00000262483	-1	1	intron	4	20	_	EPN2	EPN2	ENST00000314728	1	1	intron	7	11	_	900
321	T1/T2	high	trunk	chromothripsis	26	NA	#646464	complex	15	144	15.chr17.1	15.chr17.3	ptel-8406882.5	26902060-37539424	0.049952015	17	6400263	6400264	17	34127094	34127095	-	-	DUP	27726831	50	8	PITPNM3	PITPNM3	ENST00000262483	-1	1	intron	4	20	_	_	_	_	_	_	_	_	_	_	0
20	T1/T2	high	trunk	chromothripsis	26	TP53	#646464	complex	15	144	15.chr17.1	15.chr17.3	ptel-8406882.5	26902060-37539424	0.049952015	17	7576179	7576183	17	26902058	26902062	-	-	DUP	19325879	51	18	TP53	TP53	ENST00000269305	-1	0	intron	9	11	_	ALDOC	ALDOC	ENST00000226253	-1	0	intron	3	9	_	900
181	T1/T2	high	trunk	chromothripsis	26	NA	#646464	complex	15	144	15.chr17.1	15.chr17.2	ptel-8406882.5	11547735-21085144	0.049952015	17	8156785	8156786	17	21084872	21084873	+	+	DEL	12928087	24	14	PFAS	PFAS	ENST00000314666	1	_	5UTRintron	1	28	_	DHRS7B	DHRS7B	ENST00000395511	1	0	intron	3	7	_	820
79	T1/T2	high	trunk	chromothripsis	26	NA	#646464	complex	15	144	15.chr17.1	15.chr17.5	ptel-8406882.5	57539432.5-qtel	0.049952015	17	8163420	8163422	17	64531631	64531633	-	-	DUP	56368211	66	24	PFAS	PFAS	ENST00000314666	1	1	intron	11	28	_	PRKCA	PRKCA	ENST00000413366	1	0	intron	3	17	_	700
75	T1/T2	high	trunk	chromothripsis	26	NA	#646464	complex	15	144	15.chr17.1	15.chr17.5	ptel-8406882.5	57539432.5-qtel	0.049952015	17	8406881	8406884	17	58477988	58477991	+	+	DEL	50071107	57	26	MYH10	MYH10	ENST00000269243	-1	2	intron	26	41	_	_	_	_	_	_	_	_	_	_	0
171	T1/T2	high	trunk	chromothripsis	26	NA	#646464	complex	15	144	15.chr17.2	15.chr17.2	11547735-21085144	11547735-21085144	0.049952015	17	11547734	11547736	17	19630269	19630271	-	+	T2T_INV	8082535	53	14	DNAH9	DNAH9	ENST00000262442	1	2	intron	10	69	_	_	_	_	_	_	_	_	_	_	0
130	T1/T2	high	trunk	chromothripsis	26	NA	#646464	complex	15	144	15.chr17.2	15.chr17.5	11547735-21085144	57539432.5-qtel	0.049952015	17	12221709	12221711	17	74947325	74947327	+	-	H2H_INV	62725616	24	8	_	_	_	_	_	_	_	_	_	RP11-87G24.3	RP11-87G24.3	ENST00000585902	-1	_	UTRintron	1	2	_	0
104	T1/T2	high	trunk	chromothripsis	26	NA	#646464	complex	15	144	15.chr17.2	15.chr17.5	11547735-21085144	57539432.5-qtel	0.049952015	17	12223052	12223054	17	67731647	67731647	-	+	T2T_INV	55508595	23	20	_	_	_	_	_	_	_	_	_	AC003051.1	AC003051.1	ENST00000591334	1	_	UTRintron	3	6	_	0
7	T1/T2	high	trunk	chromothripsis	26	NA	#646464	complex	15	144	15.chr17.2	15.chr17.2	11547735-21085144	11547735-21085144	0.049952015	17	12223058	12223060	17	12225640	12225642	-	-	DUP	2582	110	20	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0
9	T1/T2	high	trunk	chromothripsis	26	NA	#646464	complex	15	144	15.chr17.2	15.chr17.2	11547735-21085144	11547735-21085144	0.049952015	17	12223062	12223064	17	15121743	15121743	-	+	T2T_INV	2898681	14	9	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0
211	T1/T2	high	trunk	chromothripsis	26	NA	#646464	complex	15	144	15.chr17.2	15.chr17.3	11547735-21085144	26902060-37539424	0.049952015	17	12223075	12223077	17	28703908	28703908	-	+	T2T_INV	16480833	24	3	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0
231	T1/T2	high	trunk	chromothripsis	26	NA	#646464	complex	15	144	15.chr17.2	15.chr17.3	11547735-21085144	26902060-37539424	0.049952015	17	12223075	12223077	17	28707346	28707348	-	-	DUP	16484271	27	5	_	_	_	_	_	_	_	_	_	CPD	CPD	ENST00000543464	1	_	5UTRexon	1	21	_	0
88	T1/T2	high	trunk	chromothripsis	26	NA	#646464	complex	15	144	15.chr17.2	15.chr17.5	11547735-21085144	57539432.5-qtel	0.049952015	17	12223080	12223082	17	66050148	66050148	-	+	T2T_INV	53827068	59	56	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0
30	T1/T2	high	trunk	chromothripsis	26	NA	#646464	complex	15	144	15.chr17.2	15.chr17.3	11547735-21085144	26902060-37539424	0.049952015	17	12223087	12223089	17	29386165	29386165	-	+	T2T_INV	17163078	62	10	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0
58	T1/T2	high	trunk	chromothripsis	26	NA	#646464	complex	15	144	15.chr17.2	15.chr17.4	11547735-21085144	40474355.5-54226789.5	0.049952015	17	12223114	12223116	17	46090646	46090648	-	-	DUP	33867532	48	13	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0
83	T1/T2	high	trunk	chromothripsis	26	NA	#646464	complex	15	144	15.chr17.2	15.chr17.5	11547735-21085144	57539432.5-qtel	0.049952015	17	12223122	12223124	17	64625373	64625373	-	+	T2T_INV	52402251	38	6	_	_	_	_	_	_	_	_	_	PRKCA	PRKCA	ENST00000413366	1	0	intron	3	17	_	0
95	T1/T2	high	trunk	chromothripsis	26	NA	#646464	complex	15	144	15.chr17.2	15.chr17.5	11547735-21085144	57539432.5-qtel	0.049952015	17	12223198	12223200	17	66050522	66050524	-	-	DUP	53827324	141	46	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0
1310	T1/T2	high	trunk	chromothripsis	26	NA	#646464	complex	15	144	15.chr17.2	15.chr17.2	11547735-21085144	11547735-21085144	0.049952015	17	12223205	12223207	17	19223578	19223578	-	+	T2T_INV	7000373	154	30	_	_	_	_	_	_	_	_	_	EPN2	EPN2	ENST00000314728	1	1	intron	7	11	_	0
510	T1/T2	high	trunk	chromothripsis	26	NA	#646464	complex	15	144	15.chr17.2	15.chr17.2	11547735-21085144	11547735-21085144	0.049952015	17	12223217	12223219	17	12225380	12225380	-	+	T2T_INV	2163	43	9	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0
291	T1/T2	high	trunk	chromothripsis	26	NA	#646464	complex	15	144	15.chr17.2	15.chr17.3	11547735-21085144	26902060-37539424	0.049952015	17	12223240	12223242	17	28707664	28707664	-	+	T2T_INV	16484424	43	20	_	_	_	_	_	_	_	_	_	CPD	CPD	ENST00000225719	1	2	intron	1	21	_	0
121	T1/T2	high	trunk	chromothripsis	26	NA	#646464	complex	15	144	15.chr17.2	15.chr17.5	11547735-21085144	57539432.5-qtel	0.049952015	17	12223346	12223346	17	71970744	71970746	+	-	H2H_INV	59747398	49	5	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0
62	T1/T2	high	trunk	chromothripsis	26	NA	#646464	complex	15	144	15.chr17.2	15.chr17.4	11547735-21085144	40474355.5-54226789.5	0.049952015	17	12223537	12223539	17	48060815	48060815	-	+	T2T_INV	35837278	26	4	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0
59	T1/T2	high	trunk	chromothripsis	26	NA	#646464	complex	15	144	15.chr17.2	15.chr17.4	11547735-21085144	40474355.5-54226789.5	0.049952015	17	12223567	12223567	17	46090783	46090785	+	-	H2H_INV	33867216	65	22	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0
1410	T1/T2	high	trunk	chromothripsis	26	NA	#646464	complex	15	144	15.chr17.2	15.chr17.2	11547735-21085144	11547735-21085144	0.049952015	17	12223590	12223590	17	19223754	19223754	+	+	DEL	7000164	23	10	_	_	_	_	_	_	_	_	_	EPN2	EPN2	ENST00000314728	1	1	intron	7	11	_	0
60	T1/T2	high	trunk	chromothripsis	26	NA	#646464	complex	15	144	15.chr17.2	15.chr17.4	11547735-21085144	40474355.5-54226789.5	0.049952015	17	12223595	12223595	17	46091497	46091497	+	+	DEL	33867902	72	16	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0
341	T1/T2	high	trunk	chromothripsis	26	NA	#646464	complex	15	144	15.chr17.2	15.chr17.3	11547735-21085144	26902060-37539424	0.049952015	17	12223615	12223615	17	34133997	34133999	+	-	H2H_INV	21910382	55	26	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0
46	T1/T2	high	trunk	chromothripsis	26	NA	#646464	complex	15	144	15.chr17.2	15.chr17.4	11547735-21085144	40474355.5-54226789.5	0.049952015	17	12223650	12223650	17	41747829	41747829	+	+	DEL	29524179	21	13	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0
251	T1/T2	high	trunk	chromothripsis	26	NA	#646464	complex	15	144	15.chr17.2	15.chr17.3	11547735-21085144	26902060-37539424	0.049952015	17	12223702	12223702	17	28707372	28707372	+	+	DEL	16483670	41	28	_	_	_	_	_	_	_	_	_	CPD	CPD	ENST00000543464	1	_	5UTRexon	1	21	_	0
610	T1/T2	high	trunk	chromothripsis	26	NA	#646464	complex	15	144	15.chr17.2	15.chr17.2	11547735-21085144	11547735-21085144	0.049952015	17	12223795	12223795	17	12225380	12225380	+	+	DEL	1585	44	12	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0
8	T1/T2	high	trunk	chromothripsis	26	NA	#646464	complex	15	144	15.chr17.2	15.chr17.2	11547735-21085144	11547735-21085144	0.049952015	17	12223795	12223795	17	15121666	15121668	+	-	H2H_INV	2897871	23	4	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0
115	T1/T2	high	trunk	chromothripsis	26	NA	#646464	complex	15	144	15.chr17.2	15.chr17.5	11547735-21085144	57539432.5-qtel	0.049952015	17	12223795	12223795	17	71560506	71560508	+	-	H2H_INV	59336711	20	11	_	_	_	_	_	_	_	_	_	SDK2	SDK2	ENST00000392650	-1	1	intron	1	45	_	0
351	T1/T2	high	trunk	chromothripsis	26	NA	#646464	complex	15	144	15.chr17.2	15.chr17.3	11547735-21085144	26902060-37539424	0.049952015	17	12223802	12223802	17	34134446	34134448	+	-	H2H_INV	21910644	55	26	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0
74	T1/T2	high	trunk	chromothripsis	26	NA	#646464	complex	15	144	15.chr17.2	15.chr17.5	11547735-21085144	57539432.5-qtel	0.049952015	17	12225200	12225202	17	58477888	58477890	-	-	DUP	46252688	70	17	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0
45	T1/T2	high	trunk	chromothripsis	26	NA	#646464	complex	15	144	15.chr17.2	15.chr17.4	11547735-21085144	40474355.5-54226789.5	0.049952015	17	12225324	12225326	17	41747757	41747759	-	-	DUP	29522433	51	17	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0
91	T1/T2	high	trunk	chromothripsis	26	NA	#646464	complex	15	144	15.chr17.2	15.chr17.5	11547735-21085144	57539432.5-qtel	0.049952015	17	12225369	12225371	17	66050221	66050221	-	+	T2T_INV	53824852	65	23	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0
281	T1/T2	high	trunk	chromothripsis	26	NA	#646464	complex	15	144	15.chr17.2	15.chr17.3	11547735-21085144	26902060-37539424	0.049952015	17	12225625	12225626	17	28707662	28707663	+	-	H2H_INV	16482037	22	6	_	_	_	_	_	_	_	_	_	CPD	CPD	ENST00000225719	1	2	intron	1	21	_	0
19	T1/T2	high	trunk	chromothripsis	26	NA	#646464	complex	15	144	15.chr17.2	15.chr17.2	11547735-21085144	11547735-21085144	0.049952015	17	12225760	12225762	17	21085143	21085145	+	+	DEL	8859383	30	11	_	_	_	_	_	_	_	_	_	DHRS7B	DHRS7B	ENST00000395511	1	0	intron	3	7	_	0
221	T1/T2	high	trunk	chromothripsis	26	NA	#646464	complex	15	144	15.chr17.2	15.chr17.3	11547735-21085144	26902060-37539424	0.049952015	17	12225761	12225764	17	28704108	28704111	+	-	H2H_INV	16478347	107	42	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0
