id	presence.summary	confidence	subs_clone	event_type	event_id	csv_locus	color	ClusterSV_event_type	ClusterSV_cluster_id	ClusterSV_num_SV_in_cluster	ClusterSV_footprint_id_low_end	ClusterSV_footprint_id_high_end	ClusterSV_start_end_low_end_footprint	ClusterSV_start_end_high_end_footprint	ClusterSV_p_value	chr1	start1	end1	chr2	start2	end2	strand1	strand2	rearr_type	bkpt_distance	E.H.131222.T1.1.D1.1.count	I.H.132387.T5.1.D1.2.count	I.H.132387.T6.1.D1.2.count	I.H.132387.T7.1.D1.2.count	gene1	gene1_id	gene1_transcript_id	gene1_strand	gene1_end_phase	gene1_region	gene1_region_number	gene1_total_region_count	gene1_first_last	gene2	gene2_id	gene2_transcript_id	gene2_strand	gene2_phase	gene2_region	gene2_region_number	gene2_total_region_count	gene2_first_last	fusion_flag
87	T1_T5_T6_T7	high	trunk	chromothripsis	2	chromothripsis_chr4	#646464	complex	2_2	3	2.chr4.2	2.chr4.2	88084046.5-183491722.5	88084046.5-183491722.5	0.04999095	4	123975859	123975860	4	152264004	152264005	+	+	0	0	11	19	25	27	SPATA5	SPATA5	ENST00000274008	1	0	intron	11	16	_	RP11-731D1.4	RP11-731D1.4	ENST00000603264	-1	_	UTRintron	1	2	_	200
78	T1_T5_T6_T7	high	trunk	chromothripsis	2	chromothripsis_chr4	#646464	tandem_duplication	59	1	NA	NA	NA	NA	NA	4	12489821	12489823	4	126193680	126193682	-	-	0	0	16	30	16	13	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0
42	T1_T5_T6_T7	high	trunk	chromothripsis	2	chromothripsis_chr4	#646464	inversion	60	1	NA	NA	NA	NA	NA	4	12540826	12540828	4	19346395	19346397	+	-	0	0	7	27	27	17	_	_	_	_	_	_	_	_	_	RP11-3J1.1	RP11-3J1.1	ENST00000505347	-1	_	UTRintron	1	3	_	0
88	T1_T5_T6_T7	high	trunk	chromothripsis	2	chromothripsis_chr4	#646464	complex	2_5	3	2.chr4.2	2.chr4.2	88084046.5-183491722.5	88084046.5-183491722.5	0.04999095	4	126195659	126195663	4	153863361	153863365	-	+	0	0	9	23	21	29	_	_	_	_	_	_	_	_	_	FHDC1	FHDC1	ENST00000511601	1	_	5UTRintron	1	12	_	0
91	T1_T5_T6_T7	high	trunk	chromothripsis	2	chromothripsis_chr4	#646464	complex	2_5	3	2.chr4.2	2.chr4.2	88084046.5-183491722.5	88084046.5-183491722.5	0.04999095	4	129866624	129866625	4	154192933	154192934	+	-	0	0	17	23	28	32	SCLT1	SCLT1	ENST00000281142	-1	2	intron	16	21	_	TRIM2	TRIM2	ENST00000338700	1	2	intron	2	12	_	900
92	T1_T5_T6_T7	high	trunk	chromothripsis	2	chromothripsis_chr4	#646464	complex	2_5	3	2.chr4.2	2.chr4.2	88084046.5-183491722.5	88084046.5-183491722.5	0.04999095	4	129972679	129972680	4	157106561	157106562	-	-	0	0	10	26	25	24	SCLT1	SCLT1	ENST00000281142	-1	0	intron	2	21	_	_	_	_	_	_	_	_	_	_	0
79	T1_T5_T6_T7	high	trunk	chromothripsis	2	chromothripsis_chr4	#646464	simple_deletion	2_1	1	2.chr4.2	2.chr4.2	88084046.5-183491722.5	88084046.5-183491722.5	0.04999095	4	131153192	131153196	4	131154830	131154834	+	+	0	0	10	33	20	22	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0
95	T1_T5_T6_T7	high	trunk	chromothripsis	2	chromothripsis_chr4	#646464	complex	2_3	3	2.chr4.2	2.chr4.2	88084046.5-183491722.5	88084046.5-183491722.5	0.04999095	4	138312881	138312886	4	158724832	158724837	-	-	0	0	13	35	20	35	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0
94	T1_T5_T6_T7	high	trunk	chromothripsis	2	chromothripsis_chr4	#646464	complex	2_3	3	2.chr4.2	2.chr4.2	88084046.5-183491722.5	88084046.5-183491722.5	0.04999095	4	147786688	147786691	4	158688753	158688756	-	+	0	0	7	27	20	22	TTC29	TTC29	ENST00000325106	-1	0	intron	8	13	_	_	_	_	_	_	_	_	_	_	0
97	T1_T5_T6_T7	high	trunk	chromothripsis	2	chromothripsis_chr4	#646464	complex	2_3	3	2.chr4.2	2.chr4.2	88084046.5-183491722.5	88084046.5-183491722.5	0.04999095	4	158714429	158714430	4	159070781	159070782	+	-	0	0	20	17	18	23	_	_	_	_	_	_	_	_	_	FAM198B	FAM198B	ENST00000393807	-1	0	intron	4	6	_	0
66	T1_T5_T6_T7	high	trunk	chromothripsis	2	chromothripsis_chr4	#646464	complex	43	3	NA	NA	NA	NA	NA	4	18808168	18808169	4	104017045	104017046	+	-	0	0	20	19	22	25	_	_	_	_	_	_	_	_	_	BDH2	BDH2	ENST00000296424	-1	0	intron	2	10	_	0
70	T1_T5_T6_T7	high	trunk	chromothripsis	2	chromothripsis_chr4	#646464	complex	42	3	NA	NA	NA	NA	NA	4	18982867	18982869	4	114574918	114574920	-	-	0	0	22	20	22	23	_	_	_	_	_	_	_	_	_	CAMK2D	CAMK2D	ENST00000342666	-1	1	intron	3	19	_	0
43	T1_T5_T6_T7	high	trunk	chromothripsis	2	chromothripsis_chr4	#646464	tandem_duplication	61	1	NA	NA	NA	NA	NA	4	19462190	19462191	4	19530998	19530999	-	-	0	0	6	30	17	27	RP11-608O21.1	RP11-608O21.1	ENST00000511431	1	_	UTRintron	1	4	_	RP11-608O21.1	RP11-608O21.1	ENST00000511431	1	_	UTRintron	1	4	_	100
99	T1_T5_T6_T7	high	trunk	chromothripsis	2	chromothripsis_chr4	#646464	complex	44	4	NA	NA	NA	NA	NA	4	24262515	24262516	4	161202459	161202460	+	-	0	0	14	31	23	21	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0
50	T1_T5_T6_T7	high	trunk	chromothripsis	2	chromothripsis_chr4	#646464	simple_deletion	62	1	NA	NA	NA	NA	NA	4	39549853	39549854	4	64600135	64600136	+	+	0	0	5	31	19	18	SMIM14	SMIM14	ENST00000295958	-1	_	3UTRexon	5	5	_	_	_	_	_	_	_	_	_	_	0
98	T1_T5_T6_T7	high	trunk	chromothripsis	2	chromothripsis_chr4	#646464	complex	40	2	NA	NA	NA	NA	NA	4	39719329	39719330	4	159071102	159071103	+	+	0	0	4	32	21	27	UBE2K	UBE2K	ENST00000261427	1	0	intron	1	7	_	FAM198B	FAM198B	ENST00000296530	-1	0	intron	3	5	_	540
51	T1_T5_T6_T7	high	trunk	chromothripsis	2	chromothripsis_chr4	#646464	complex	40	2	NA	NA	NA	NA	NA	4	39719351	39719352	4	64728010	64728011	-	-	0	0	7	27	22	27	UBE2K	UBE2K	ENST00000261427	1	0	intron	1	7	_	_	_	_	_	_	_	_	_	_	0
81	T1_T5_T6_T7	high	trunk	chromothripsis	2	chromothripsis_chr4	#646464	complex	43	3	NA	NA	NA	NA	NA	4	40604796	40604801	4	138714832	138714837	+	-	0	0	13	20	12	15	RBM47	RBM47	ENST00000319592	-1	_	5UTRintron	1	6	_	_	_	_	_	_	_	_	_	_	0
67	T1_T5_T6_T7	high	trunk	chromothripsis	2	chromothripsis_chr4	#646464	complex	43	3	NA	NA	NA	NA	NA	4	40605300	40605305	4	104022484	104022489	-	-	0	0	12	31	22	33	RBM47	RBM47	ENST00000319592	-1	_	5UTRintron	1	6	_	_	_	_	_	_	_	_	_	_	0
55	T1_T5_T6_T7	high	trunk	chromothripsis	2	chromothripsis_chr4	#646464	complex	46	5	NA	NA	NA	NA	NA	4	42003853	42003854	4	69288997	69288998	+	-	0	0	0	12	19	17	SLC30A9	SLC30A9	ENST00000264451	1	1	intron	2	18	_	_	_	_	_	_	_	_	_	_	0
103	T1_T5_T6_T7	high	trunk	chromothripsis	2	chromothripsis_chr4	#646464	tandem_duplication	63	1	NA	NA	NA	NA	NA	4	44301641	44301643	4	173307894	173307896	-	-	0	0	18	28	17	21	KCTD8	KCTD8	ENST00000360029	-1	1	intron	1	2	_	GALNTL6	GALNTL6	ENST00000506823	1	1	intron	5	13	_	540
56	T1_T5_T6_T7	high	trunk	chromothripsis	2	chromothripsis_chr4	#646464	complex	46	5	NA	NA	NA	NA	NA	4	55740459	55740460	4	71358098	71358099	+	-	0	0	15	27	23	31	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0
47	T1_T5_T6_T7	high	trunk	chromothripsis	2	chromothripsis_chr4	#646464	simple_deletion	64	1	NA	NA	NA	NA	NA	4	57652617	57652634	4	57696402	57696419	+	+	0	0	5	28	26	19	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0
106	T1_T5_T6_T7	high	trunk	chromothripsis	2	chromothripsis_chr4	#646464	complex	41	3	NA	NA	NA	NA	NA	4	58778679	58778680	4	183143161	183143162	+	+	0	0	7	26	13	22	_	_	_	_	_	_	_	_	_	TENM3	TENM3	ENST00000512480	1	_	5UTRintron	1	3	_	0
93	T1_T5_T6_T7	high	trunk	chromothripsis	2	chromothripsis_chr4	#646464	simple_deletion	65	1	NA	NA	NA	NA	NA	4	63964093	63964096	4	157107041	157107044	+	+	0	0	12	37	30	33	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0
85	T1_T5_T6_T7	high	trunk	chromothripsis	2	chromothripsis_chr4	#646464	simple_deletion	66	1	NA	NA	NA	NA	NA	4	65244245	65244248	4	150492201	150492204	+	+	0	0	11	28	26	18	TECRL	TECRL	ENST00000381210	-1	0	intron	1	12	_	RP11-526A4.1	RP11-526A4.1	ENST00000511993	-1	_	UTRintron	11	17	_	200
73	T1_T5_T6_T7	high	trunk	chromothripsis	2	chromothripsis_chr4	#646464	complex	44	4	NA	NA	NA	NA	NA	4	66508119	66508120	4	117820939	117820940	+	+	0	0	12	28	20	28	EPHA5	EPHA5	ENST00000273854	-1	0	intron	2	18	_	_	_	_	_	_	_	_	_	_	0
100	T1_T5_T6_T7	high	trunk	chromothripsis	2	chromothripsis_chr4	#646464	complex	44	4	NA	NA	NA	NA	NA	4	66524036	66524038	4	161203439	161203441	-	+	0	0	6	26	21	25	EPHA5	EPHA5	ENST00000273854	-1	1	intron	1	18	_	_	_	_	_	_	_	_	_	_	0
57	T1_T5_T6_T7	high	trunk	chromothripsis	2	chromothripsis_chr4	#646464	complex	46	5	NA	NA	NA	NA	NA	4	69290370	69290373	4	71363160	71363163	-	+	0	0	6	22	16	19	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0
65	T1_T5_T6_T7	high	trunk	chromothripsis	2	chromothripsis_chr4	#646464	simple_deletion	67	1	NA	NA	NA	NA	NA	4	88539028	88539030	4	103933628	103933630	+	+	0	0	13	50	28	18	_	_	_	_	_	_	_	_	_	SLC9B1	SLC9B1	ENST00000296422	-1	_	5UTRintron	1	12	_	0
90	T1_T5_T6_T7	high	trunk	chromothripsis	2	chromothripsis_chr4	#646464	complex	45	6	NA	NA	NA	NA	NA	4	93377287	93377288	4	154046155	154046156	+	+	0	0	11	29	16	8	GRID2	GRID2	ENST00000282020	1	1	intron	1	16	_	_	_	_	_	_	_	_	_	_	0
104	T1_T5_T6_T7	high	trunk	chromothripsis	2	chromothripsis_chr4	#646464	complex	45	6	NA	NA	NA	NA	NA	4	93379033	93379034	4	178692045	178692046	-	-	0	0	16	23	17	24	GRID2	GRID2	ENST00000282020	1	1	intron	1	16	_	RP11-162G9.1	RP11-162G9.1	ENST00000507011	-1	_	UTRintron	2	5	_	200
64	T1_T5_T6_T7	high	trunk	chromothripsis	2	chromothripsis_chr4	#646464	tandem_duplication	68	1	NA	NA	NA	NA	NA	4	93494988	93494989	4	98195134	98195135	-	-	0	0	5	13	12	23	GRID2	GRID2	ENST00000282020	1	1	intron	1	16	_	_	_	_	_	_	_	_	_	_	0
63	T1_T5_T6_T7	high	trunk	chromothripsis	2	chromothripsis_chr4	#646464	simple_deletion	69	1	NA	NA	NA	NA	NA	4	93518567	93518571	4	98142952	98142956	+	+	0	0	17	37	26	26	GRID2	GRID2	ENST00000282020	1	1	intron	2	16	_	_	_	_	_	_	_	_	_	_	0
62	T1_T5_T6_T7	high	trunk	chromothripsis	2	chromothripsis_chr4	#646464	simple_deletion	70	1	NA	NA	NA	NA	NA	4	94813789	94813792	4	95545266	95545269	+	+	0	0	13	24	24	22	_	_	_	_	_	_	_	_	_	PDLIM5	PDLIM5	ENST00000317968	1	1	intron	8	13	_	0
111	T1_T5_T6_T7	high	trunk	simple_deletion	3	none	#646464	simple_deletion	47	1	NA	NA	NA	NA	NA	6	2671126	2671137	6	2672278	2672289	+	+	0	0	12	28	30	22	MYLK4	MYLK4	ENST00000274643	-1	_	3UTRintron	12	13	_	MYLK4	MYLK4	ENST00000274643	-1	0	intron	11	13	_	600
117	T1_T5_T6_T7	high	trunk	simple_deletion	4	PTPRD	#646464	simple_deletion	71	1	NA	NA	NA	NA	NA	9	8902104	8902107	9	9575562	9575565	+	+	0	0	11	31	17	24	PTPRD	PTPRD	ENST00000381196	-1	_	5UTRintron	8	43	_	PTPRD	PTPRD	ENST00000381196	-1	_	5UTRintron	4	43	_	840
125	T1_T5_T6_T7	high	trunk	simple_deletion	5	none	#646464	simple_deletion	6	1	6.chr15.1	6.chr15.2	100804470-100804470	100982329-100982329	NA	15	100804468	100804472	15	100982327	100982331	+	+	0	0	7	24	22	19	ADAMTS17	ADAMTS17	ENST00000268070	-1	0	intron	4	22	_	CERS3	CERS3	ENST00000284382	-1	0	intron	12	13	_	900
129	T1_T5_T6_T7	high	trunk	complex_unclassified	6	none	#646464	tandem_duplication	52	1	NA	NA	NA	NA	NA	19	57422485	57422486	19	57621745	57621746	-	-	0	0	4	31	58	10	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0
130	T1_T5_T6_T7	high	trunk	complex_unclassified	6	none	#646464	tandem_duplication	53	1	NA	NA	NA	NA	NA	19	57580572	57580576	19	57641932	57641936	-	-	0	0	24	66	114	101	_	_	_	_	_	_	_	_	_	USP29	USP29	ENST00000254181	1	_	exon	4	4	_	0
131	T1_T5_T6_T7	high	trunk	tandem_duplication	7	none	#646464	tandem_duplication	54	1	NA	NA	NA	NA	NA	22	21128773	21128802	22	21203862	21203891	-	-	0	0	8	28	17	23	PI4KA	PI4KA	ENST00000255882	-1	0	intron	19	55	_	PI4KA	PI4KA	ENST00000255882	-1	0	intron	1	55	_	880
135	T1_T5_T6_T7	high	trunk	tandem_duplication	8	none	#646464	tandem_duplication	3	1	3.chr5.1	3.chr5.2	176024270-176024270	176283915-176283915	NA	5	176024269	176024271	5	176283914	176283916	-	-	0	0	1	34	32	21	GPRIN1	GPRIN1	ENST00000303991	-1	_	exon	2	2	_	UNC5A	UNC5A	ENST00000329542	1	1	intron	1	15	_	500
137	T6	high	R1 100%	tandem_duplication	9	none	#0070C0	tandem_duplication	49	1	NA	NA	NA	NA	NA	1	60966386	60966390	1	61096180	61096184	-	-	0	0	0	0	25	0	_	_	_	_	_	_	_	_	_	RP11-776H12.1	RP11-776H12.1	ENST00000439156	-1	_	UTRintron	2	8	_	0
27	T6	high	R1 100%	simple_deletion	10	none	#0070C0	simple_deletion	50	1	NA	NA	NA	NA	NA	7	14658777	14658778	7	29174744	29174745	+	+	0	0	0	0	19	0	DGKB	DGKB	ENST00000403951	-1	0	intron	15	26	_	CPVL	CPVL	ENST00000409850	-1	_	5UTRintron	5	17	_	200
31	T6	high	R1 100%	tandem_duplication	11	none	#0070C0	tandem_duplication	51	1	NA	NA	NA	NA	NA	7	83406001	83406005	7	83537114	83537118	-	-	0	0	0	0	23	0	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0
34	T6	high	R1 100%	simple_deletion	12	none	#0070C0	simple_deletion	38	1	NA	NA	NA	NA	NA	7	88384089	88384090	7	88395588	88395589	+	+	0	0	0	0	20	0	AC002127.4	AC002127.4	ENST00000444032	1	_	UTRintron	5	6	_	ZNF804B	ZNF804B	ENST00000333190	1	0	intron	1	4	_	180
118	T6	high	R1 100%	complex_unclassified	13	none	#0070C0	complex	39	2	NA	NA	NA	NA	NA	7	140471080	140471083	9	17425436	17425439	-	-	0	0	0	0	30	0	BRAF	BRAF	ENST00000288602	-1	2	intron	13	18	_	CNTLN	CNTLN	ENST00000380647	1	0	intron	18	26	_	540
39	T6	high	R1 100%	complex_unclassified	13	none	#0070C0	simple_deletion	5	1	5.chr7.1	5.chr7.2	140471081.5-140478296	141201365-141203741	9.20E-05	7	140478293	140478299	7	141201362	141201368	+	+	0	0	0	0	25	0	BRAF	BRAF	ENST00000288602	-1	1	intron	11	18	_	_	_	_	_	_	_	_	_	_	0
119	T6	high	R1 100%	complex_unclassified	13	none	#0070C0	complex	39	2	NA	NA	NA	NA	NA	7	141203740	141203742	9	17428915	17428917	+	+	0	0	0	0	18	0	_	_	_	_	_	_	_	_	_	CNTLN	CNTLN	ENST00000380647	1	0	intron	18	26	_	0
40	T6	high	R1 100%	simple_deletion	14	none	#0070C0	simple_deletion	6	1	6.chr7.1	6.chr7.2	146261192-146261192	146566339-146566339	NA	7	146261190	146261194	7	146566337	146566341	+	+	0	0	0	0	24	0	CNTNAP2	CNTNAP2	ENST00000361727	1	1	intron	1	24	_	CNTNAP2	CNTNAP2	ENST00000361727	1	0	intron	3	24	_	680
15	T6	high	R1 100%	simple_deletion	15	none	#0070C0	simple_deletion	48	1	NA	NA	NA	NA	NA	14	43632409	43632409	14	43820399	43820399	+	+	0	0	0	0	24	0	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0
128	T6	high	R1 100%	complex_unclassified	16	none	#0070C0	inversion	40	1	NA	NA	NA	NA	NA	19	57550152	57550153	19	57553920	57553921	+	-	0	0	0	0	25	0	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0
147	T7	high	R2 100%	reciprocal_inversion	17	none	#4F9E28	reciprocal_inversion	1_1	2	1.chr1.1	1.chr1.2	ptel-cen_start	233759487-233759494	0.047683962	1	9688430	9688432	1	233759494	233759494	-	+	0	0	0	0	0	12	_	_	_	_	_	_	_	_	_	KCNK1	KCNK1	ENST00000366621	1	1	intron	1	3	_	0
